no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75696/empty,Pule - Pule,Pematang Panjang
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75697/empty,Sederhana,Pematang Panjang
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75698/empty,Serumpun,Pematang Panjang
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75699/empty,Harapan,Gunung Bandung
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75700/empty,Pembinaan,Gunung Bandung
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75701/empty,Harapan Baru,Gunung Bandung
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75702/empty,Flamboyan,Pasir Permit
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75703/empty,Melati,Pasir Permit
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75704/empty,Sehati,Pasir Permit
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75705/empty,Tunas Harapan,Pasir Permit
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75706/empty,Maju Sejahtera,Pasir Permit
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75707/empty,Pelita Jaya,Perupuk
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75708/empty,Usaha Jaya,Perupuk
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75709/empty,Sumber Makmur,Perupuk
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75710/empty,Harapan Jadi,Perupuk
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75711/empty,Seroja,Perupuk
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75712/empty,Serumpun,Perupuk
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75713/empty,Pantai Indah,Perupuk
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75714/empty,Kasih Bersama,Perupuk
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75715/empty,Tani Makmur,Perupuk
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75716/empty,Tani Maju,Perupuk
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75717/empty,Tani Mulia,Perupuk
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75718/empty,Sepakat,Perupuk
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75719/empty,Tani Sejati,Perupuk
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75720/empty,Jaya Tani,Perupuk
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75721/empty,Jernang Indah,Perupuk
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75722/empty,Gading,Perupuk
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75723/empty,Mekar Baru,Titi Merah
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75724/empty,Nusa Indah,Titi Merah
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75725/empty,Mekar,Titi Merah
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75726/empty,Satu Hati,Titi Putih
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75727/empty,Makmur,Bulan-Bulan
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75728/empty,Mekar Indah,Bulan-Bulan
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75729/empty,Abadi,Gambus Laut
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75730/empty,Serba Jadi,Gambus Laut
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75731/empty,Tani Maju,Gambus Laut
37,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75732/empty,Serasi,Gambus Laut
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75733/empty,Sehati,Gambus Laut
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75734/empty,Budi Sentosa,Gambus Laut
40,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75735/empty,Sumber Padi,Gambus Laut
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75736/empty,Sido Maju,Gambus Laut
42,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75737/empty,Rezeki,Gambus Laut
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75738/empty,Bapak Tani,Gambus Laut
44,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75739/empty,Harapan Jadi,Gambus Laut
45,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75740/empty,Oriza,Gambus Laut
46,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75741/empty,Kampung Lima,Gambus Laut
47,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75742/empty,Mulia,Gambus Laut
48,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75743/empty,Rahayu,Gambus Laut
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75744/empty,Jasa,Gambus Laut
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75745/empty,Sidodadi,Lubuk Cuik
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75746/empty,Royerta,Lubuk Cuik
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75747/empty,Harapan Jadi,Lubuk Cuik
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75748/empty,Pasar Dua,Lubuk Cuik
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75749/empty,Makmur,Lubuk Cuik
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75750/empty,Abadi,Lubuk Cuik
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75751/empty,Anggiat Gabe,Pematang Tengah
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75752/empty,Bakti,Pematang Tengah
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75753/empty,Murni,Pematang Tengah
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75754/empty,Limau Sundai,Pematang Tengah
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75755/empty,Saroha,Pematang Tengah
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75756/empty,Mulia,Pematang Tengah
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75757/empty,Tunas Baru,Tanah Itam Ilir
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75758/empty,Serba Guna,Tanah Itam Ilir
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75759/empty,Purwodadi Satu,Tanah Itam Ilir
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75760/empty,Nusa Indah,Tanah Itam Ilir
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75761/empty,Primordia,Kwala Gunung
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75762/empty,Sri Purnama,Kwala Gunung
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75763/empty,Harapan Baru,Kwala Gunung
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75764/empty,Sepakat,Lubuk Besar
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75765/empty,Makmur,Lubuk Besar
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75766/empty,Pembangunan,Lubuk Besar
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75767/empty,Serasi,Lubuk Besar
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75768/empty,Rahayu,Lubuk Besar
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75769/empty,Sederhana,Lubuk Besar
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75770/empty,Renjana,Air Hitam
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75771/empty,Jaya Tani,Air Hitam
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75772/empty,Sri Asih,Air Hitam
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75773/empty,Budi Luhur,Air Hitam
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75774/empty,Setia Kawan,Air Hitam
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75775/empty,Dosroha,Air Hitam
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75776/empty,Serasi,Air Hitam
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75777/empty,Horas,Air Hitam
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75778/empty,Sempurna,Air Hitam
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75779/empty,Sri Tani,Air Hitam
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75780/empty,Giat Tani,Air Hitam
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75781/empty,Wajib Tani,Air Hitam
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75782/empty,Bina Tani,Air Hitam
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75783/empty,Setia Tani,Air Hitam
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75784/empty,Tani Subur,Air Hitam
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75785/empty,Huta Barisan,Air Hitam
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75786/empty,Sumber Makmur,Air Hitam
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75787/empty,Sumber Tani,Air Hitam
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75788/empty,Tani Maju,Air Hitam
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75789/empty,Tani Murni,Air Hitam
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75790/empty,Hasoman,Air Hitam
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75791/empty,Harmonis,Air Hitam
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75792/empty,Karya Tani,Air Hitam
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75793/empty,Gabe Nauli,Air Hitam
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75794/empty,Rawa Dolik,Air Hitam
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75795/empty,Tani Makmur,Cahaya Pardomuan
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75796/empty,Saroha,Cahaya Pardomuan
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75797/empty,Pardomuan,Cahaya Pardomuan
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75798/empty,Karya Tani,Cahaya Pardomuan
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75799/empty,Dosroha,Cahaya Pardomuan
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75800/empty,Simarito,Cahaya Pardomuan
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75801/empty,Betahamu,Cahaya Pardomuan
107,107/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75802/empty,Horas,Empat Negeri
108,108/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75803/empty,Silih Asih,Empat Negeri
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75804/empty,Benteng Huraba,Empat Negeri
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75805/empty,Bentang Damai,Empat Negeri
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75806/empty,Persatuan,Empat Negeri
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75807/empty,Jaya,Empat Negeri
113,113/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75808/empty,Aman,Empat Negeri
114,114/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75809/empty,Damai,Empat Negeri
115,115/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75810/empty,Serayu,Kwala Gunung
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75811/empty,Serasi,Kwala Gunung
