no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75053/empty,Padang Ganting,Pulau Birandang
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75058/empty,Bonca Kare,Pulau Birandang
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75060/empty,Jaring Mas Sejahtera,Pulau Birandang
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75061/empty,Rimbo Cambai I,Pulau Rambai
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75062/empty,Rimbo Cambai II,Pulau Rambai
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75063/empty,Pulau Kampuong,Pulau Rambai
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75064/empty,Bonca Kedundung I,Koto Perambahan
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75066/empty,Koto Kobun,Koto Perambahan
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75067/empty,Bonca Panjang,Koto Perambahan
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75068/empty,Bonca Mangkuong,Pulau Birandang
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75069/empty,Bonca Kedundung II,Koto Perambahan
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75070/empty,Pulau Kosiok,Koto Perambahan
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75071/empty,Petapahan II,Sawah Baru
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75072/empty,Aur Kuning,Sipungguk
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75074/empty,Awang Lowe,Sipungguk
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75075/empty,Tunas Baru,Sipungguk
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75076/empty,Suka Maju,Sipungguk
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75077/empty,Uwai Lowe,Sipungguk
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75078/empty,Boncah Rotan,Sipungguk
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75079/empty,Batu Loncatan,Sipungguk
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75080/empty,Boncah Godang,Sipungguk
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75081/empty,Anggun-Anggun,Sipungguk
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75082/empty,Suayan,Ganting Damai
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75083/empty,Bonca Labi,Ganting Damai
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75084/empty,Boncah Panjang,Ganting Damai
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75085/empty,Rimbo Kampung,Ganting Damai
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75086/empty,Bukit Kareh,Ganting Damai
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75087/empty,Boncah Piliang,Sipungguk
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75088/empty,Bonca Panjang,Pulau Terap
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75089/empty,Sei. Ngolan II,Kuok
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75090/empty,Sei. Maki I,Kuok
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75091/empty,Sei. Maki II,Kuok
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75093/empty,Taping,Kuok
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75094/empty,Pulai Makmur,Empat Balai
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75095/empty,Manggadi,Empat Balai
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75096/empty,Guntung,Pulau Jambu
37,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75097/empty,Kampung Panjang,Pulau Jambu
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75098/empty,Bonca Pogang,Pulau Jambu
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75099/empty,Sijangkang,Empat Balai
40,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75100/empty,Suka Damai,Pulau Jambu
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75101/empty,Sadar,Pulau Jambu
42,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75102/empty,Bencah Ubuoh,Alam Panjang
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75103/empty,Bahagia,Simpang Petai
44,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75104/empty,Bencah Terantang,Alam Panjang
45,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75105/empty,Sumpadang Indah,Teratak
46,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75106/empty,Saiyo,Teratak
47,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75107/empty,Suka Maju,Pulau Payung
48,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75114/empty,Darussalam,Pulau Payung
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75115/empty,Muda Raya,Pulau Payung
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75116/empty,Nurul Hidayah,Pulau Payung
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75117/empty,Al Ikhlas,Pulau Payung
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75118/empty,Suka Mulia,Pulau Payung
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75119/empty,Usaha,Pulau Payung
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75120/empty,Sejahtera,Simpang Petai
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75121/empty,Baliok Imbo,Sawah
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75122/empty,Bonca Koyong,Sawah
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75123/empty,Pulau Indah,Sungai Jalau
