no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104752/empty,Rulih Adi Mejingkat II,Lau Garut
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104754/empty,Rulih Adi Mejingkat I,Lau Garut
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104756/empty,Juma Delleng,Lau Garut
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104758/empty,Lagasima I,Lau Garut
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104760/empty,Lagasima II,Lau Garut
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104762/empty,Maju Bersama,Lau Garut
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104764/empty,Mekar Jaya,Lau Garut
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104766/empty,Simpati,Lau Garut
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104768/empty,Dostahi,Lau Garut
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104771/empty,Bersaudara,Lau Garut
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104773/empty,Jati Putih,Lau Garut
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104775/empty,Jati Putih II,Lau Garut
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104777/empty,Lestari,Lau Garut
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104779/empty,Sangap Encari,Tanjung Pamah
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104780/empty,Jumpa Rejeki,Tanjung Pamah
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104783/empty,Karya Tani,Tanjung Pamah
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104785/empty,Setia Tani,Tanjung Pamah
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104787/empty,Wanita Arih Ersada,Tanjung Pamah
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104789/empty,Tunas Baru,Tanjung Pamah
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104791/empty,Ola Kisat,Tanjung Pamah
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104793/empty,Mbuah Page,Tanjung Pamah
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104795/empty,Persadanta,Tanjung Pamah
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104797/empty,Abadi,Tanjung Pamah
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104799/empty,Makmur Tani,Bukit Makmur
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104801/empty,Ersada,Bukit Makmur
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104803/empty,Juma Uruk,Bukit Makmur
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104805/empty,Mekar Mulana,Bukit Makmur
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104807/empty,Mitra,Bukit Makmur
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104809/empty,Ulih Latih,Bukit Makmur
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104811/empty,Penampat,Bukit Makmur
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104813/empty,Arihta,Bukit Makmur
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104815/empty,Sangapta Ras,Lau Pengulu
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104817/empty,Sabah Lama II,Lau Pengulu
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104819/empty,Tobaka,Lau Pengulu
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104823/empty,Sepakat Jaya,Lau Pengulu
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104824/empty,Sue Arihta,Lau Pengulu
37,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104827/empty,Simulih Karaben,Lau Pengulu
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104829/empty,Sabah Lama I,Lau Pengulu
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104831/empty,Nurul Iman,Lau Pengulu
40,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104833/empty,Arih Ersada,Lau Pengulu
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104835/empty,Muah Page,Lau Pengulu
42,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104837/empty,Harapan Jaya,Bandar Purba
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104839/empty,Gabe Naniula,Bandar Purba
44,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104841/empty,Dalinta Rukur,Bandar Purba
45,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104843/empty,Sabah Tengah,Bandar Purba
46,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104845/empty,Sukses Tani,Bandar Purba
47,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104847/empty,Usaha Bersama,Bandar Purba
48,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104849/empty,Jaya Tani,Bandar Purba
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104851/empty,Dostahi,Bandar Purba
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104853/empty,Bunga Jadi Buah,Bandar Purba
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104855/empty,Dosroha,Bandar Purba
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104857/empty,Serasi,Bandar Purba
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104859/empty,Sahata,Bandar Purba
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104860/empty,Tunas Muda,Bandar Purba
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104862/empty,Bandar Tani,Bandar Purba
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104864/empty,Serpang Simalem,Lau Kesumpat
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104866/empty,Sawah Telko,Lau Kesumpat
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104868/empty,Sativa Tani,Lau Kesumpat
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104870/empty,Lau Kasumpat,Lau Kesumpat
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104872/empty,Gotong Royong,Lau Kesumpat
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104874/empty,Paya Elok,Lau Kesumpat
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104876/empty,Pemarparen,Lau Kesumpat
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104878/empty,Berkat Doa,Lau Kesumpat
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104904/empty,Kampung Dalam Indah (Kdi),Lau Kesumpat
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104905/empty,Sari Tani,Lau Kesumpat
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104906/empty,Cinta Dame,Lau Kesumpat
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104907/empty,Latersia,Lau Kesumpat
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104908/empty,Lau Kapur,Lau Kesumpat
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104909/empty,Ora Et Labora,Lau Kesumpat
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104910/empty,Arih Ersada,Kuta Pengkih
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104911/empty,Bukit Simalem,Kuta Pengkih
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104912/empty,Bunga Ncole,Kuta Pengkih
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104913/empty,Bunga Mawar,Kuta Pengkih
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104914/empty,Bunga Rimna,Kuta Pengkih
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104915/empty,Bunga Ros,Kuta Pengkih
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104916/empty,Cari Kawan,Kuta Pengkih
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104917/empty,Didong Doah,Kuta Pengkih
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104918/empty,Lau Simonong,Kuta Pengkih
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104919/empty,Mbuah Page,Kuta Pengkih
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104920/empty,Sada Arih,Kuta Pengkih
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104921/empty,Persi,Kuta Pengkih
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104922/empty,Soala Gogo,Kuta Pengkih
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104923/empty,Barong Batang,Kuta Pengkih
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104924/empty,Genarasi Baru,Lau Pakam
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104925/empty,Lam Uli,Lau Pakam
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104926/empty,Sawah Lama,Lau Pakam
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104927/empty,Pemuda Tani,Lau Pakam
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104928/empty,Gabe Subur,Lau Pakam
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104929/empty,Tani Jaya,Lau Pakam
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104930/empty,Anugrah,Lau Pakam
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104931/empty,Cahaya,Lau Pakam
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104932/empty,Cinta Maju,Lau Pakam
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104933/empty,Gali Masuk,Lau Pakam
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104934/empty,Tani Pusaka,Lau Pakam
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104935/empty,Supra Tani,Lau Pakam
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104936/empty,Kuta Nari,Lau Pakam
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104937/empty,Lam Ulina,Lau Pakam
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104938/empty,Maju,Lau Pakam
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104939/empty,Jaya,Lau Pakam
