no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104379/empty,Gemah Ripah,Glagahwangi
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104380/empty,Bangun Karya,Kapungan
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104381/empty,Tunas Karya,Kahuman
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104382/empty,Sumber Agung,Ngaran
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104383/empty,Ngudi Makmur,Borongan
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104384/empty,Bumi Sari,Nganjat
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104385/empty,Tani Makmur,Jimus
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104386/empty,Margo Rukun,Turus
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104387/empty,Marsudi Makmur,Polan
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104388/empty,Tani Mulyo,Karanglo
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104389/empty,Boga Raharja,Ponggok
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104390/empty,Sido Dadi,Wangen
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104391/empty,Dadi Maju,Keprabon
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104392/empty,Sari Tani,Kranggan
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104393/empty,Sari Makmur,Kebonharjo
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104394/empty,Sido Makmur,Janti
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104395/empty,Sidowayah,Sidowayah
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104396/empty,Tani Makmur,Sidoharjo
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104397/empty,Marsudi Makmur,Srebegan
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104398/empty,Sedyo Rahayu,Pasungan
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104399/empty,Tani Mulyo,Kajen
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104400/empty,Budidaya,Jambukidul
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104401/empty,Tunas Makmur,Kujon
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104402/empty,Sri Mulyo,Pokak
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104403/empty,Guyub Rukun,Mlese
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104404/empty,Agung Makmur,Jombor
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104405/empty,Rukun Santosa,Dlimas
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104406/empty,Sedyo Budi Utomo,Kurung
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104407/empty,Sido Makmur,Cetan
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104408/empty,Karya Nyata,Tegalrejo
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104409/empty,Gemah Ripah,Ceper
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104410/empty,Tani Makmur,Jambukulon
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104411/empty,Dadi Makmur,Meger
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104412/empty,Tani Mulyo,Klepu
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104413/empty,Mardi Makaryo Makmur,Ngawonggo
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104414/empty,Adi Karya,Kuncen
37,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104415/empty,Tani Mulyo,Nengahan
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104416/empty,Guyub,Nengahan
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104418/empty,Karya Makmur,Jambakan
40,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104420/empty,Ngudi Makmur,Jambakan
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104421/empty,Mugi Rahayu,Banyuripan
42,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104422/empty,Sumber Makmur,Banyuripan
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104423/empty,Sayuk Rukun,Jarum
44,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104424/empty,Abimanyu,Ngerangan
45,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104425/empty,Wisanggeni,Ngerangan
46,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104426/empty,Parikesit,Ngerangan
47,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104427/empty,Rejeki,Krakitan
48,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104432/empty,Berkah Mbaon,Krakitan
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104433/empty,Ngudi Makmur,Krakitan
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104434/empty,Ngesti Hasil,Beluk
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104435/empty,Sido Makmur,Beluk
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104436/empty,Sido Rahayu,Tegalrejo
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104441/empty,Rimba Makmur,Tawangrejo
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104442/empty,Sri Mulyo,Tawangrejo
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104443/empty,Sido Asih,Paseban
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104444/empty,Pok Eyub,Bogem
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104445/empty,Bhakti Makmur,Bogem
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104446/empty,Mekarsari,Jotangan
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104447/empty,Agrosemi,Jotangan
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104449/empty,Sri Margomulyo,Talang
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104450/empty,Sido Guyub,Talang
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104451/empty,Budi Luhur,Kebon
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104452/empty,Ngudi Hasil,Kebon
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104453/empty,Sedyo Makmur,Wiro
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104454/empty,Sejati Makmur,Krikilan
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104455/empty,Lestari Makmur I,Tlobong
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104456/empty,Lestari Makmur II,Tlobong
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104457/empty,Lestari Makmur III,Tlobong
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104458/empty,Tani Mulyo I,Krecek
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104459/empty,Tani Mulyo II,Krecek
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104460/empty,Tani Mulyo III,Krecek
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104461/empty,Sumber Agung I,Dukuh
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104462/empty,Sumber Agung II,Dukuh
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104463/empty,Sumber Agung III,Dukuh
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104464/empty,Krida Tani I,Bowan
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104465/empty,Krida Tani II,Bowan
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104466/empty,Krida Tani III,Bowan
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104467/empty,Tani Mulyo I,Sidomulyo
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104469/empty,Tani Mulyo II,Sidomulyo
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104471/empty,Tani Mulyo III,Sidomulyo
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104473/empty,Usaha Tani I,Banaran
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104475/empty,Usaha Tani II,Banaran
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104477/empty,Usaha Tani III,Banaran
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104480/empty,Usaha Tani IV,Banaran
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104482/empty,Sedyo Makmur I,Sabrang
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104484/empty,Sedyo Makmur II,Sabrang
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104486/empty,Sedyo Makmur I,Mendak
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104489/empty,Sedyo Makmur II,Mendak
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104491/empty,Sedyo Makmur III,Mendak
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104493/empty,Tani Bahagia I,Sribit
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104495/empty,Tani Bahagia II,Sribit
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104497/empty,Tani Bahagia III,Sribit
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104499/empty,Tani Bahagia IV,Sribit
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104501/empty,Tani Bahagia V,Sribit
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104503/empty,Tani Mulyo I,Karang
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104505/empty,Tani Mulyo II,Karang
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104507/empty,Tani Mulyo III,Karang
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104509/empty,Ngudi Mulyo I,Segaran
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104511/empty,Ngudi Mulyo II,Segaran
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104513/empty,Ngudi Makmur I,Delanggu
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104515/empty,Ngudi Makmur II,Delanggu
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104517/empty,Tani Makmur I,Kepanjen
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104519/empty,Tani Makmur II,Kepanjen
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104521/empty,Tani Makmur III,Kepanjen
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104523/empty,Ngudi Makmur I,Butuhan
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104525/empty,Ngudi Makmur II,Butuhan
107,107/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104527/empty,Tani Makmur I,Jetis
108,108/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104530/empty,Tani Makmur II,Jetis
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104532/empty,Tani Makmur III,Jetis
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104534/empty,Margo Mulyo I,Gatak
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104537/empty,Margo Mulyo II,Gatak
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104539/empty,Margo Mulyo III,Gatak
113,113/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104541/empty,Margo Subur,Pesu
114,114/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104543/empty,Dadi Subur,Pesu
115,115/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104545/empty,Gemah Ripah,Dengkeng
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104548/empty,Rukun Tani,Tanjungan
117,117/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104550/empty,Sido Makmur,Pasung
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104552/empty,Maju Lancar,Brangkal
119,119/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104554/empty,Ngudi Makmur,Pacing
120,120/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104556/empty,Tani Santosa,Kadilanggon
121,121/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104558/empty,Tani Kaligayam,Kaligayam
122,122/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104560/empty,Bangun Tani I,Melikan
123,123/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104562/empty,Bangun Tani II,Melikan
124,124/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104564/empty,Tani Mekarsari,Jiwowetan
125,125/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104566/empty,Eka Tunggal,Kadibolo
126,126/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104568/empty,Karya Tunggal,Kadibolo
127,127/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104570/empty,Mardi Rahayu,Trotok
128,128/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104572/empty,Ngudi Rahayu,Trotok
129,129/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104574/empty,Margo Mulyo,Sembung
130,130/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104576/empty,Sido Makmur,Sukorejo
131,131/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104578/empty,Tani Makmur,Sukorejo
132,132/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104580/empty,Sri Makmur,Birit
133,133/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104582/empty,Ngudi Makmur,Pandes
134,134/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104584/empty,Tani Maju,Canan
135,135/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104586/empty,Kadung Makmur,Kalitengah
136,136/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104588/empty,Karya Makmur,Gadungan
137,137/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104590/empty,Tani Rejeki,Temuwangi
138,138/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104592/empty,Tani Sempulur,Temuwangi
139,139/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104594/empty,Agung Rejeki,Beji
140,140/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104596/empty,Ngudi Rejeki,Beji
141,141/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104598/empty,Marsudi Raharjo,Ngaren
