no,no_bam,situs,poktan,desa
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91847/empty,Sidodadi II,Warungpring
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91848/empty,Tunas Harapan,Warungpring
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91849/empty,Tani Lancar,Pakembaran
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91859/empty,Sarwo Akur III,Pakembaran
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91860/empty,Tani Makmur II,Karangdawa
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91862/empty,Tani Makmur III,Karangdawa
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91863/empty,Makmur Abadi V,Datar
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91864/empty,Makmur Abadi VII,Datar
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91866/empty,Ngudi Karya Tani III,Cibuyur
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91867/empty,Ngudi Karya Tani IV,Cibuyur
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91868/empty,Nalaguna,Cibuyur
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91870/empty,Tani Mandiri,Cibuyur
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91871/empty,Tani Bahagia III,Mereng
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91872/empty,Rukun Tani,Karangsari
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91873/empty,Sri Basuki,Karangsari
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91874/empty,Makaryo Bakti,Gambuhan
37,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91883/empty,Berkah Sari,Gambuhan
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91884/empty,Tani Makmur Empat,Penakir
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91885/empty,Trubus,Penakir
40,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91886/empty,Karya Harapan IV,Gunungsari
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91887/empty,Bina Tani,Bulakan
42,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91888/empty,Boga Tani I,Bulakan
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91889/empty,Gunung,Sikasur
44,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91890/empty,Karya Tani,Gunungjaya
45,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91891/empty,Simbar Jaya,Gunungjaya
46,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91892/empty,Setia Hati,Gunungjaya
47,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91893/empty,Lestari,Gunungjaya
48,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91894/empty,Beringin Sejahtera,Gunungjaya
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91895/empty,Manggung Wangi,Badak
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91896/empty,Budidaya,Badak
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91897/empty,Rimpak,Belik
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91899/empty,Tulus Rahayu,Belik
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91900/empty,Gondang,Belik
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91901/empty,Maju Makmur,Gunungtiga
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91903/empty,Karya Tani,Mendelem
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91904/empty,Krida Tani II,Mendelem
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91905/empty,Krida Tani I,Mendelem
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91907/empty,Tumpang Sari,Kuta
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91908/empty,Sumber Rejeki III,Belik
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91909/empty,Tani Maju,Mendelem
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91910/empty,Boga Tani II,Mendelem
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91911/empty,Krida Tani IV,Mendelem
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91912/empty,Situri,Kuta
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91913/empty,Sumber Rejeki I,Belik
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91914/empty,Sumber Rejeki II,Belik
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91915/empty,Bakti Tani II,Mendelem
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91916/empty,Maju Makmur,Kuta
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91917/empty,Sepaha,Sikasur
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91918/empty,Siglunggung,Sikasur
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91919/empty,Kedung Belis,Sikasur
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91920/empty,Adil II,Bulakan
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91921/empty,Sri Mulya,Bulakan
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91922/empty,Sido Muncul,Bongas
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91923/empty,Lestari,Bongas
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91925/empty,Langen Sari II,Bongas
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91926/empty,Karya Bakti,Cikadu
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91927/empty,Maju Tani,Cikadu
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91928/empty,Tunas Harapan,Medayu
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91930/empty,Rukun Tani II,Medayu
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91931/empty,Kelapa Sawit,Majakerta
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91932/empty,Jati Mulya,Majakerta
