no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104468/empty,Rukun Santoso,Babadan
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104470/empty,Tunggalsari,Bareng
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104472/empty,Rukun Makmur Jaya,Cekok
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104474/empty,Sri Makmur,Gupolo
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104476/empty,Ngudi Berkah Lestari,Japan
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104478/empty,Sandang Pangan,Kadipaten
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104479/empty,Kerto Raharjo,Kertosari
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104481/empty,Lembah Makmur,Lembah
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104483/empty,Rukun Sejahtera Abadi,Ngunut
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104485/empty,Margo Makmur,Patihan Wetan
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104488/empty,Rukun Makmur,Polorejo
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104490/empty,Tani Lancar,Pondok
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104492/empty,Rukun Makmur,Purwosari
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104494/empty,Rukun Makmur,Sukosari
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104496/empty,Sumber,Trisono
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104498/empty,Sumber Agung,Badegan
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104500/empty,Bandar Tani,Bandaralim
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104502/empty,Tri Manunggal,Biting
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104504/empty,Subur,Dayakan
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104506/empty,Margo Mulyo,Kapuran
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104508/empty,Tani Manunggal,Karangan
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104510/empty,Rukun Makmur,Karangjoho
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104512/empty,Tanjung Tani,Tanjunggunung
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104514/empty,Maju Mapan,Tanjungrejo
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104516/empty,Rukun Makmur,Watubonang
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104518/empty,Margo Tani Utomo,Bajang
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104520/empty,Daya Tani,Balong
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104522/empty,Jaya Makmur,Bulak
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104524/empty,Sadono Makmur,Bulu Kidul
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104526/empty,Sido Mulyo,Dadapan
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104528/empty,Sri Mulyo Asih,Jalen
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104531/empty,Tani Maju,Karangan
