no,nomor,situs,poktan,data_kolom_tiga
312,312/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50697/spasial/create,USAHA,Fuafuni
313,313/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50698/spasial/create,TIAMETI,Fuafuni
314,314/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50699/spasial/create,Sadi Sodak,Lekik
315,315/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50700/spasial/create,TULUFALI,Lekik
316,316/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50701/spasial/create,DALEK ESA,Lekik
317,317/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50702/spasial/create,OESEBA,Lekik
318,318/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50703/spasial/create,DAESUE,Dolasi
319,319/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50704/spasial/create,KOTA LOAK,Dolasi
320,320/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50705/spasial/create,LEDO MBENA,Dolasi
321,321/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50706/spasial/create,Detalima,Dalek Esa
322,322/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50707/spasial/create,Ingguina,Dalek Esa
323,323/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50708/spasial/create,Tunggadea,Dalek Esa
324,324/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50709/spasial/create,MALOLE,Dalek Esa
325,325/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50710/spasial/create,Hausela,Oenitas
326,326/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50711/spasial/create,Dalek Esa,Oenitas
327,327/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50712/spasial/create,Fiafangga,Oenitas
328,328/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50713/spasial/create,Lutuoen,Oenitas
329,329/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50714/spasial/create,Faililo,Oenitas
330,330/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50715/spasial/create,Sehati,Oenitas
331,331/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50716/spasial/create,Mbuse Titi,Oenitas
332,332/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50717/spasial/create,Mbutu Mbena,Oenitas
333,333/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50718/spasial/create,Embun Pagi,Oenitas
334,334/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50719/spasial/create,Oenitas,Oenitas
335,335/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50720/spasial/create,Loudano I,Oenitas
336,336/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50721/spasial/create,Soniama,Oenitas
337,337/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50722/spasial/create,Donggo,Oenitas
338,338/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50723/spasial/create,Tunas Baru,Oenitas
339,339/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50725/spasial/create,Loudano II,Oenitas
340,340/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50726/spasial/create,FAISUE,Oenitas
341,341/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50731/spasial/create,Adsel,Oelolok
342,342/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50732/spasial/create,Adek,Oelolok
343,343/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50733/spasial/create,SUMBER KEHIDUPAN,Oelolok
344,344/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50734/spasial/create,Leneoen,Oelolok
345,345/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50735/spasial/create,Oelolot,Oelolok
346,346/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50736/spasial/create,Sehati,Oelolok
347,347/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50737/spasial/create,Mbusa Mane,Oelolok
348,348/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50738/spasial/create,Oefoe Mandiri,Sedeoen
349,349/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50739/spasial/create,Mbusetiti Oefoe,Sedeoen
350,350/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50740/spasial/create,Oehela,Sedeoen
351,351/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50741/spasial/create,Dalek Esa,Mbueain
