no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103929/empty,Fajar Sari,Pon
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103930/empty,Sei Belutu,Sei Belutu
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103933/empty,Sri Agung,Penggalangan
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103934/empty,Mekar Tani,Pematang Ganjang
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103936/empty,Karya Bersama,Sei Parit
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103937/empty,Sehati,Silau Rakyat
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103939/empty,Cinta Sehati,Cinta Air
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103940/empty,Sri Ayu,Kota Galuh
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103941/empty,Sri Abadi Makmur,Sukajadi
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103942/empty,Karya Bersama,Bengkel
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103944/empty,Maju Bersama,Lidah Tanah
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103945/empty,Mekar Tani,Sei Nagalawan
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/103946/empty,Sederhana,Ara Payung
