no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75980/empty,Sikio Baji,Mangadu
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75981/empty,Sunggumanai,Mangadu
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75982/empty,Turikale,Mangadu
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75983/empty,Mekarsari,Lakatong
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75984/empty,Pa'gannakkang 2,Lakatong
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75985/empty,Sipakainga,Lakatong
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75986/empty,Bontoa,Banggae
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75987/empty,Sipakainga,Banggae
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75988/empty,Subur Prima,Banggae
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75989/empty,Abbulosibatang,Topejawa
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75990/empty,Appakabaji,Topejawa
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75991/empty,Campaga Bangung,Topejawa
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75992/empty,Agung Jaya,Lengkese
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75993/empty,Baddo Pangkaya,Lengkese
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/75994/empty,Baji Pa'mai,Lengkese
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76004/empty,Bina Sejahtera,Lengkese
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76005/empty,Makmur Jaya,Lengkese
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76006/empty,Assamaturu,Lengkese
