no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79238/empty,Buttu Siendekan,Belau
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79239/empty,Minanga,Belau
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79240/empty,Suka Maju Itap,Belau Utara
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79241/empty,Lemo,Belau Utara
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79242/empty,Laun,Belau Utara
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79243/empty,Barana Mamali,Belau Utara
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79244/empty,Kalaka,Kadundung
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79245/empty,Panura Tappan,Kadundung
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79246/empty,Bombong,Paku
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79247/empty,Sangkutu Banne,Paku
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79248/empty,Sipanunduk Gotta,Paliorong
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79249/empty,Buttu Borong,Pondingao'
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79250/empty,Rura Sikamase,Pondingao'
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79251/empty,Sangkutu Banne,Pondingao'
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79252/empty,Madandan,Ratte
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79253/empty,Palli,Ratte
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79254/empty,Salu Rea Bayo,Sesesalu
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79255/empty,Batupapan,Sesesalu
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79256/empty,Kandua Bersatu,Kandua'
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79257/empty,Kandua Bangkit,Kandua'
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79258/empty,Pemuda Kanan,Kandua'
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79259/empty,Sangtiangkaran,Kandua'
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79260/empty,Sangmairisan,Kandua'
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79261/empty,Siendekan,Balla
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79262/empty,Pada Tindo,Balla
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79263/empty,Sangkederan,Balla
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79264/empty,Rannuanta,Balla
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79265/empty,Ratte Kole,Tiroan
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79266/empty,Kalimbuang,Tiroan
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79267/empty,Saruran Batu Jaya,Tiroan
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79268/empty,Tombang Lokka,Le'tek
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79269/empty,Tandung Bertani,Le'tek
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79270/empty,Saro Mase,Le'tek
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79271/empty,Sangulele,Kole Palian
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79272/empty,Sikamale,Kole Palian
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79273/empty,Tambolag,Buttu Limbong
37,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79274/empty,Kombo,Buttu Limbong
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79275/empty,Limbong,Buttu Limbong
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79276/empty,Koa,Buttu Limbong
40,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79277/empty,Kampung Baru,Buttu Limbong
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79278/empty,Limbong Barani,Buttu Limbong
42,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79279/empty,Sikamali Pulio,Kandua'
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79280/empty,Ratte Dama,Kandua'
44,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79281/empty,Subur Jaya Dama,Kandua'
45,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79282/empty,Pa Kondo,Kandua'
46,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79283/empty,Saro Mase,Kandua'
47,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79284/empty,Mekar Danglu,Rante Kalua'
48,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79285/empty,Tondok Bangla,Rante Kalua'
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79286/empty,Ponian Jaya,Pa'tengko
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79287/empty,Batu Menganga,Pa'tengko
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79288/empty,Rante Dollok,Rante dada
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79289/empty,Manda Sirampun,Rante dada
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79290/empty,Sangkederan,Tampo
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79291/empty,Antam,Tampo
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79292/empty,Rante Kesu',Tampo
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79293/empty,Tanduk Bulan,Tampo
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79294/empty,PGM Sipalamban,Simbuang
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79295/empty,Siangkaran,Simbuang
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79296/empty,Sipatuo Bangkailan,Simbuang
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79297/empty,Madoke Siangkaran,Simbuang
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79298/empty,Kalian Bersama,Simbuang
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79299/empty,Sedanan,Simbuang
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79300/empty,Padang Leme,Randanan
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79301/empty,Malillin,Randanan
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79302/empty,Imanuel Pakambuan,Tengan
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79303/empty,Panada,Tengan
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79304/empty,Gema Tani,Marinding
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79305/empty,Pararra,Marinding
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79306/empty,Berkat Sangkutu,Marinding
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79307/empty,Tondon Siporannu,Marinding
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79308/empty,Maruang,Palipu
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79309/empty,Rarukan Utara,Lemo
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79310/empty,Moso II,Lemo
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79311/empty,Karrang Situru,Buntu Tangti
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79312/empty,Minanga Timur,Buntu Tangti
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79313/empty,Batunna Boyo,Ke'pe Tinoring
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79314/empty,Misa Kada,Ke'pe Tinoring
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79315/empty,Siangkaran,Ke'pe Tinoring
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79316/empty,Bamba,Pantan
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79317/empty,Kosan,Lapandan
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79318/empty,Salu Tallu,Lapandan
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79319/empty,Salu Sitammu,Lapandan
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79320/empty,Tiropadang,Lapandan
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79321/empty,Tanete Lestari,Lapandan
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79322/empty,Kamali,Kamali Pentalluan
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79323/empty,Milan,Kamali Pentalluan
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79324/empty,Maju Bersama,Kamali Pentalluan
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79325/empty,To'Ao,Kamali Pentalluan
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79326/empty,Sanginaa,Tampo Makale
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79327/empty,Bina Akrab,Tampo Makale
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79328/empty,Usaha Agrobisnis Siguntu,Tampo Makale
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79329/empty,Usaha Terpadu Tampo,Tampo Makale
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79330/empty,Rante Tampo,Tampo Makale
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79331/empty,Banne Marendeng,Tondon Mamullu
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79332/empty,Ketapang,Tondon Mamullu
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79333/empty,KWT Batu Bungga,Lea
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79334/empty,KWT Birop,Lea
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79335/empty,KWT Rante Situru,Lea
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79336/empty,KWT Sikamali Babangan,Lea
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79337/empty,Lea Raya,Lea
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79338/empty,Rotani,Lea
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79339/empty,Siangkaran,Lea
