no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79238/empty,Buttu Siendekan,Belau
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79240/empty,Suka Maju Itap,Belau Utara
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79241/empty,Lemo,Belau Utara
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79242/empty,Laun,Belau Utara
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79244/empty,Kalaka,Kadundung
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79245/empty,Panura Tappan,Kadundung
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79248/empty,Sipanunduk Gotta,Paliorong
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79249/empty,Buttu Borong,Pondingao'
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79251/empty,Sangkutu Banne,Pondingao'
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79252/empty,Madandan,Ratte
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79253/empty,Palli,Ratte
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79254/empty,Salu Rea Bayo,Sesesalu
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79256/empty,Kandua Bersatu,Kandua'
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79261/empty,Siendekan,Balla
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79262/empty,Pada Tindo,Balla
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79263/empty,Sangkederan,Balla
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79266/empty,Kalimbuang,Tiroan
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79267/empty,Saruran Batu Jaya,Tiroan
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79269/empty,Tandung Bertani,Le'tek
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79270/empty,Saro Mase,Le'tek
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79273/empty,Tambolag,Buttu Limbong
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79274/empty,Kombo,Buttu Limbong
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79276/empty,Koa,Buttu Limbong
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79277/empty,Kampung Baru,Buttu Limbong
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79279/empty,Sikamali Pulio,Kandua'
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79280/empty,Ratte Dama,Kandua'
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79281/empty,Subur Jaya Dama,Kandua'
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79282/empty,Pa Kondo,Kandua'
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79283/empty,Saro Mase,Kandua'
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79286/empty,Ponian Jaya,Pa'tengko
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79287/empty,Batu Menganga,Pa'tengko
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79288/empty,Rante Dollok,Rante dada
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79290/empty,Sangkederan,Tampo
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79291/empty,Antam,Tampo
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79292/empty,Rante Kesu',Tampo
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79295/empty,Siangkaran,Simbuang
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79296/empty,Sipatuo Bangkailan,Simbuang
40,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79297/empty,Madoke Siangkaran,Simbuang
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79298/empty,Kalian Bersama,Simbuang
42,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79299/empty,Sedanan,Simbuang
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79300/empty,Padang Leme,Randanan
44,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79303/empty,Panada,Tengan
45,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79304/empty,Gema Tani,Marinding
46,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79305/empty,Pararra,Marinding
48,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79307/empty,Tondon Siporannu,Marinding
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79308/empty,Maruang,Palipu
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79309/empty,Rarukan Utara,Lemo
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79310/empty,Moso II,Lemo
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79312/empty,Minanga Timur,Buntu Tangti
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79315/empty,Siangkaran,Ke'pe Tinoring
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79316/empty,Bamba,Pantan
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79318/empty,Salu Tallu,Lapandan
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79319/empty,Salu Sitammu,Lapandan
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79321/empty,Tanete Lestari,Lapandan
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79322/empty,Kamali,Kamali Pentalluan
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79323/empty,Milan,Kamali Pentalluan
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79324/empty,Maju Bersama,Kamali Pentalluan
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79326/empty,Sanginaa,Tampo Makale
