no,no_bam,situs,poktan,desa
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88593/empty,Am Bulung,Sidadi I
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88595/empty,Sejahtera Bersama,Sidadi I
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88599/empty,Sepakat,Sorimadingin PP
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88612/empty,Mekar,Tahalak Ujung Gading
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88614/empty,Sakinah,Tahalak Ujung Gading
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88616/empty,Pelangi,Tahalak Ujung Gading
47,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88620/empty,Suka Jadi,Sitampa Simatoras
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88627/empty,Samora,Pintu Padang I
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88640/empty,Aek Rogas,Sorik
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88645/empty,Tor Simitcak,Aek Gunung
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88658/empty,Satahi,Pargumbangan
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88679/empty,Kwt Satahi,Muara Purba Nauli
137,137/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88720/empty,Kwt Anggrek,Sori Manaon
147,147/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88733/empty,Satahi,Huta Pardomuan
154,154/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88741/empty,Mandiri,Somanggal Parmonangan
159,159/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88748/empty,Baringin Jaya,Aek Badak Jae
187,187/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88781/empty,Tunas Harapan,Sialang
190,190/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88785/empty,Suka Makmur,Sialang
211,211/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88815/empty,Satahi,Sipange Siunjam
244,244/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88859/empty,Kamboja,Aek Parupuk
263,263/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88885/empty,Kwt Serasi,Situmba
267,267/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88891/empty,Kompak,Situmba
281,281/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89240/empty,Diori Marsada,Lumban Jabi-jabi
298,298/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89260/empty,Sejahtera,Sisoma
302,302/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89265/empty,Mentari,Harean
312,312/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89276/empty,Mekar Tani,Aek Uncim
323,323/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89288/empty,Mardomu Roha,Sinyior
325,325/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89290/empty,Raptana,Sibong-bong
327,327/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89292/empty,Mekarsari,Sibong-bong
351,351/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89316/empty,Setia Usaha,Panobasan Lombang
352,352/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89317/empty,Sikompak,Panobasan Lombang
355,355/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89320/empty,Marsada,Lembah Lubuk Raya
364,364/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89329/empty,Sepakat,Sitinjak
366,366/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89331/empty,Berkah,Sitinjak
372,372/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89337/empty,Bina Desa,Sibangkua
380,380/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89345/empty,Dalihan Natolu,Panobasan
381,381/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89346/empty,Melati,Panobasan
388,388/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89353/empty,Bunga Sanggarudang,Lobu Layan Sigordang
389,389/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89354/empty,Serasi,Lobu Layan Sigordang
