no,kecamatan,desa,poktan
762,Grujugan, Kejawan,Karya Bakti
763,Grujugan, Pekauman ,Tani Makmur
764,Grujugan, Kabuaran,Jaohar
765,Grujugan, Sumber Pandan,Sumber Jaya
766,Grujugan, Taman ,Tani Makmur
767,Grujugan, Tegalmijin,Tani Makmur 
768,Curahdami,Jetis,Mandiri
769,Curahdami,Curahpoh,Tani Makmur
770,Curahdami,Locare,Sumber Rejeki
771,Curahdami,Poncogati,Ponco Jaya
772,Curahdami,Sumbersuko,Bumi Makmur
773,Curahdami,Kupang,Kupang Lestari
774,Curahdami,Selolembu,Wahyu Sejahtera
775,Tegalampel,Tegalampel,Makmur Jaya
776,Tegalampel,Sekarputih,Sekarjaya Mandiri
777,Tegalampel,Klabang Agung,Tani Maju
778,Tegalampel,Purnama,Purnama Indah
779,Bondowoso,Kembang,Mekar Makmur Jaya
780,Bondowoso,Pancoran,Panca Makmur Jaya
781,Tenggarang,Kasemek,Kusuma Tani
782,Tenggarang,Dawuhan,Sumber Tani
783,Tenggarang,Tangsil Kulon,Makmur Tani Jaya
784,Tenggarang,Gebang,Karya Tani
785,Tenggarang,Koncer Darul Aman,Maju Makmur
786,Tenggarang,Koncer Kidul,Tirto Sembodo
787,Tenggarang,Kajar,Al Barokah
788,Tamanan,Sumber Anom,Suka Makmur
789,Tamanan,Kalianyar,Makmur Jaya
790,Tamanan,Mengen,Suka Makmur
791,Tamanan,Kemirian,Sumber Tani
792,Tamanan,Tamanan,Rejeki Tani
793,Tamanan,Sukosari,Tani Rejo
794,Tamanan,Karangmelok,Fajar Tani
795,Jambesari DS,Grujugan Lor,Tani Sejahtera
796,Jambesari DS,Jambesari,Darussholah
797,Jambesari DS,Pejagan,Podo Makmur
798,Jambesari DS,Pengarang,Harapan
799,Jambesari DS,Sumber Jeruk,Pelita Jaya
800,Jambesari DS,Jambeanom,Panca Karya
801,Jambesari DS,Pucanganom,Sumber Rejeki
802,Pujer,Maskuning Wetan,Gema Tani
803,Pujer,Sukokerto,Setia Kawan
804,Pujer,Randu Cangkring,Tani Makmur Jaya
805,Pujer,Sukodono,Setia Jaya
806,Pujer,Padasan,Karya Tani Bersama
807,Pujer,Alassumur,Sumber Agung
808,Pujer,Maskuning Kulon,Tani Maju
809,Tlogosari,Trotosari,Troto Maju
810,Tlogosari,Sulek,Sulek Raya
811,Tlogosari,Kembang,Pelopor Tani
812,Tlogosari,Jebung Kidul,Permata
813,Tlogosari,Pakisan,Pakisan Jaya
814,Tlogosari,Brambang Ds,Assubur
815,Tlogosari,Gunosari,Makmur Tani
816,Tlogosari,Tlogosari,Tlogomas
817,Tlogosari,Jebung Lor,Al-Barokah
818,Wonosari,Lombok Wetan,Al Hikmah
819,Wonosari,Tumpeng,Setia Kawan
820,Wonosari,Bendoarum,Tani Makmur
821,Wonosari,Pelalangan,Mitra Kita
822,Wonosari,Traktakan,Bumi Harta
823,Wonosari,Pasarejo,Kelapa Gading
824,Wonosari,Sumber Kalong,Sumber Jaya
825,Wonosari,Jumpong,Sinar Abadi
826,Wonosari,Lombok Kulon,Al Barokah
827,Wonosari,Kapuran,Sejahtera
828,Wonosari,Wonosari,Sumber Urip
829,Wonosari,Tangsil Wetan,Suka Maju
830,Tapen,Wonokusumo,Sawunggaling
831,Tapen,Jurang Sapi,Tani Jaya 
832,Tapen,Taal,Tali Asih
833,Tapen,Tapen,Banjir Mas
834,Sukosari,Kerang,Kerang Makmur
835,Sukosari,Pecalongan,Subur Makmur
836,Sukosari,Nogosari,Tani Subur
837,Sumber Wringin,Sumbergading,Tunas Harapan
838,Sumber Wringin,Rejoagung,Rejo Mulyo
839,Sumber Wringin,Sukosari Kidul,Al Barokah
840,Sumber Wringin,Tegaljati,Tani Sejahtera
841,Sumber Wringin,Sukorejo,Sukorejo Urip
842,Klabang,Wonoboyo,Tani Makmur
843,Klabang,Besuk,Bina Tani Maju
844,Klabang,Klampokan,Mandiri
845,Klabang,Karang Sengon,Bina Sejahtera
846,Klabang,Wonokerto,Granada
847,Klabang,Karanganyar,Suka Maju
848,Klabang,Sumbersuko,Tani Abadi
849,Klabang,Blimbing,Blimbing Jaya
850,Klabang,Pandak,Padang Pasir
851,Prajekan,Bandilan,Rimba Jaya 
852,Prajekan,Sempol,Sempol Jaya
853,Prajekan,Tarum,Tarum Jaya
854,Prajekan,Prajekan Lor,Gotong Royong
855,Prajekan,Walidono,Sumber Urip 
856,Botolinggo,Gayam Lor,Dewi Sri
857,Botolinggo,Gayam,Mangga Mas Jaya
858,Botolinggo,Lumutan,Tani Makmur
859,Botolinggo,Klekehan,Barokah Tani
860,Botolinggo,Botolinggo,Intan Mas
861,Cermee,Cermee,Sejahtera
862,Cermee,Bercak,Tirta Guna
863,Cermee,Bercak Asri,Sumber Tani 
864,Cermee,Suling Wetan,Sultan Jaya
865,Cermee,Grujugan,Rukun Tani
866,Cermee,Solor,Tani Maju
