no,kecamatan,desa,poktan
1,Grujugan,Kejawan,Karya Bakti
2,Grujugan,Pekauman,Tani Makmur
3,Grujugan,Kabuaran,Jaohar
4,Grujugan,Sumber Pandan,Sumber Jaya
5,Grujugan,Taman,Tani Makmur
6,Grujugan,Tegal Mijin,Tani Makmur
7,Curahdami,Jetis,Mandiri
8,Curahdami,Curahpoh,Tani Makmur
9,Curahdami,Locare,Sumber Rejeki
10,Curahdami,Poncogati,Ponco Jaya
11,Curahdami,Sumber Suko,Bumi Makmur
12,Curahdami,Kupang,Kupang Lestari
13,Curahdami,Selolembu,Wahyu Sejahtera
14,Tegalampel,Tegalampel,Makmur Jaya
15,Tegalampel,Sekarputih,Sekarjaya Mandiri
16,Tegalampel,Klabang Agung,Tani Maju
17,Tegalampel,Purnama,Purnama Indah
18,Bondowoso,Kembang,Mekar Makmur Jaya
19,Bondowoso,Pancoran,Panca Makmur Jaya
20,Tenggarang,Kesemek,Kusuma Tani
21,Tenggarang,Dawuhan,Sumber Tani
22,Tenggarang,Tangsil Kulon,Makmur Tani Jaya
23,Tenggarang,Gebang,Karya Tani
24,Tenggarang,Koncer Darul Aman,Maju Makmur
25,Tenggarang,Koncer Kidul,Tirto Sembodo
26,Tenggarang,Kajar,Al Barokah
27,Tamanan,Sumber Anom,Suka Makmur
28,Tamanan,Kalianyar,Makmur Jaya
29,Tamanan,Mengen,Suka Makmur
30,Tamanan,Kemirian,Sumber Tani
31,Tamanan,Tamanan,Rejeki Tani
32,Tamanan,Sukosari,Tani Rejo
33,Tamanan,Karang Melok,Fajar Tani
34,Jambesari DS,Grujugan Lor,Tani Sejahtera
35,Jambesari DS,Jambesari,Darussholah
36,Jambesari DS,Pejagan,Podo Makmur
37,Jambesari DS,Pengarang,Harapan
38,Jambesari DS,Sumberjeruk,Pelita Jaya
39,Jambesari DS,Jambeanom,Panca Karya
40,Jambesari DS,Pucanganom,Sumber Rejeki
41,Pujer,Maskuning Wetan,Gema Tani
42,Pujer,Suko Kerto,Setia Kawan
43,Pujer,Randu Cangkring,Tani Makmur Jaya
44,Pujer,Sukodono,Setia Jaya
45,Pujer,Padasan,Karya Tani Bersama
46,Pujer,Alas Sumur,Sumber Agung
47,Pujer,Maskuning Kulon,Tani Maju
48,Tlogosari,Trotosari,Troto Maju
49,Tlogosari,Sulek,Sulek Raya
50,Tlogosari,Kembang,Pelopor Tani
51,Tlogosari,Jebung Kidul,Permata
52,Tlogosari,Pakisan,Pakisan Jaya
53,Tlogosari,Brambang Darussalam,Assubur
54,Tlogosari,Gunosari,Makmur Tani
55,Tlogosari,Tlogosari,Tlogomas
56,Tlogosari,Jebung Lor,Al-Barokah
57,Wonosari,Lombok Wetan,Al Hikmah
58,Wonosari,Tumpeng,Setia Kawan
59,Wonosari,Bendoarum,Tani Makmur
60,Wonosari,Pelalangan,Mitra Kita
61,Wonosari,Traktakan,Bumi Harta
62,Wonosari,Pasarejo,Kelapa Gading
63,Wonosari,Sumberkalong,Sumber Jaya
64,Wonosari,Jumpong,Sinar Abadi
65,Wonosari,Lombok Kulon,Al Barokah
66,Wonosari,Kapuran,Sejahtera
67,Wonosari,Wonosari,Sumber Urip
68,Wonosari,Tangsil Wetan,Suka Maju
69,Tapen,Wonokusumo,Sawunggaling
70,Tapen,Jurang Sapi,Tani Jaya
71,Tapen,Taal,Tali Asih
72,Tapen,Tapen,Banjir Mas
73,Sukosari,Kerang,Kerang Makmur
74,Sukosari,Pecalongan,Subur Makmur
75,Sukosari,Nogosari,Tani Subur
76,Sumber Wringin,Sumber Gading,Tunas Harapan
77,Sumber Wringin,Rejo Agung,Rejo Mulyo
78,Sumber Wringin,Sukosari Kidul,Al Barokah
79,Sumber Wringin,Tegaljati,Tani Sejahtera
80,Sumber Wringin,Sukorejo,Sukorejo Urip
81,Klabang,Wonoboyo,Tani Makmur
82,Klabang,Besuk,Bina Tani Maju
83,Klabang,Klampokan,Mandiri
84,Klabang,Karang Sengon,Bina Sejahtera
85,Klabang,Wonokerto,Granada
86,Klabang,Karang Anyar,Suka Maju
87,Klabang,Sumber Suko,Tani Abadi
88,Klabang,Blimbing,Blimbing Jaya
89,Klabang,Pandak,Padang Pasir
90,Prajekan,Bandilan,Rimba Jaya
91,Prajekan,Sempol,Sempol Jaya
92,Prajekan,Tarum,Tarum Jaya
93,Prajekan,Prajekan Lor,Gotong Royong
94,Prajekan,Walidono,Sumber Urip
95,Botolinggo,Gayam Lor,Dewi Sri
96,Botolinggo,Gayam,Mangga Mas Jaya
97,Botolinggo,Lumutan,Tani Makmur
98,Botolinggo,Klekehan,Barokah Tani
99,Botolinggo,Botolinggo,Intan Mas
100,Cermee,Cermee,Sejahtera
101,Cermee,Bercak,Tirta Guna
102,Cermee,Bercak Asri,Sumber Tani
103,Cermee,Suling Wetan,Sultan Jaya
104,Cermee,Grujugan,Rukun Tani
105,Cermee,Solor,Tani Maju
