no,kecamatan,desa,poktan
411,Rote Timur,Papela,Aisea
412,Rote Timur,Papela,Maju Bersama
413,Rote Timur,Serubeba,Ita Esa
414,Rote Timur,Serubeba,Boilean
415,Rote Timur,Serubeba,Tunas Baru
416,Rote Timur,Londalusi,Neni Molek
417,Rote Timur,Londalusi,Tuanae
418,Rote Timur,Londalusi,Mekar
419,Rote Timur,Matasio,Rajawali
420,Rote Timur,Matasio,KWT Putra Matasio
421,Rote Timur,Matasio,Usaha Baru
422,Rote Timur,Matasio,Ora Et Labora I
423,Rote Timur,Matasio,Ora Et Labora II
424,Rote Timur,Matasio,Nusa Dua
425,Rote Timur,Pengodua,Tetulin
426,Rote Timur,Pengodua,Ora Et Labora
427,Rote Timur,Pengodua,Dalek Esa
428,Rote Timur,Lakamola,Oebatu
429,Rote Timur,Lakamola,Mondale
430,Rote Timur,Lakamola,Bolbers
431,Rote Timur,Lakamola,Oesuku 
432,Rote Timur,Lakamola,Uanale
433,Rote Timur,Lakamola,Ingin Maju
434,Landu Leko,Daeurendale,Sumber Rejeki
435,Landu Leko,Daeurendale,Usaha Bersama
436,Landu Leko,Daeurendale,Sue Sama
437,Landu Leko,Daeurendale,Sue Lai
438,Landu Leko,Lifuleo,Seleai
439,Landu Leko,Lifuleo,Aku Ada
440,Landu Leko,Lifuleo,Sadi Sodak 
441,Landu Leko,Daiama,Kecambah I
442,Landu Leko,Daiama,Tali Naru
443,Landu Leko,Daiama,Sepakat 
444,Landu Leko,Daiama,Hidup Bersama
445,Landu Leko,Daiama,Baru Mekar
446,Landu Leko,Daiama,Dei Mitan
447,Landu Leko,Daiama,Suelai
448,Landu Leko,Daiama,Kecambah II
449,Pantai Baru,Tesabela,Kembang Usaha
450,Pantai Baru,Tesabela,Tiga Serangkai
451,Pantai Baru,Tesabela,Cemara Indah
452,Pantai Baru,Tesabela,Dalek Esa
453,Pantai Baru,Tesabela,Tunas Mekar
454,Pantai Baru,Keoen,Tulus
455,Pantai Baru,Keoen,Lestari
456,Pantai Baru,Keoen,Talenallain
457,Pantai Baru,Keoen,Kejar Masa 
458,Pantai Baru,Keoen,Sehati
459,Pantai Baru,Keoen,Dalesue
460,Pantai Baru,Keoen,Lepaleo I
461,Pantai Baru,Keoen,Dalek Esa II
462,Pantai Baru,Keoen,Usaha Baru 
463,Pantai Baru,Keoen,Nauina
464,Pantai Baru,Keoen,Bintang Timur
465,Pantai Baru,Keoen,Tunas Baru
466,Pantai Baru,Edalode,Nesu Ingu
467,Pantai Baru,Edalode,Manu Ana Utu
