no,kecamatan,desa,poktan
1,Kodi Utara,Homba Karipit,Beringin I
2,Kodi Utara,Homba Karipit,Mere Usaha
3,Kodi Utara,Homba Karipit,Sabar Subur I
4,Kodi Utara,Homba Karipit,Bintang Kejora
5,Kodi Utara,Homba Karipit,Terima Kasih
6,Kodi Utara,Nangga Mutu,Bengo Daha
7,Kodi Utara,Nangga Mutu,Ice Daha
8,Kodi Utara,Nangga Mutu,Suka Maju
9,Kodi Utara,Nangga Mutu,Helu Wali
10,Kodi Utara,Nangga Mutu,Ndaha Ate
11,Kodi Utara,Nangga Mutu,Usaha Mandiri
12,Kodi Utara,Nangga Mutu,Langkah Pasti
13,Kodi Utara,Wailabubur,Harapan Baru I
14,Kodi Utara,Wailabubur,Harapan Baru II
15,Kodi Utara,Wailabubur,Bangun Bersama
16,Kodi Utara,Wailabubur,Tidak Sangka
17,Kodi Utara,Waitaru,Harapan Baru I
18,Kodi Utara,Waitaru,Sepakat I
19,Kodi Utara,Waitaru,Harapan Sama
20,Kodi Utara,Waitaru,Usaha Mulia
21,Kodi Utara,Waitaru,Usaha Bersama
22,Kodi Utara,Waitaru,Karya Tani
23,Kodi Utara,Waitaru,Lara Mopir
24,Kodi Utara,Waitaru,Karya Harapan
25,Kodi Utara,Waitaru,Sepakat II
26,Kodi Utara,Noha,Kere Pamba
27,Kodi Utara,Noha,Beingo Daha
28,Kodi Utara,Noha,Uru Dewa
29,Kodi Utara,Noha,Terbitlah Terang
30,Kodi Utara,Noha,Ege Ate
31,Kodi Utara,Noha,Suka Rela
32,Kodi Utara,Noha,Pelopor
33,Kodi Utara,Noha,Berusaha
34,Kodi Utara,Noha,Suka Maju
35,Kodi Utara,Noha,Oha Awa
36,Kodi Utara,Noha,Lighu Dewa
37,Kodi Utara,Noha,Manu Milla
38,Kodi Utara,Noha,Kede Kehe
39,Kodi Utara,Noha,Ole Kehe
40,Kodi Utara,Noha,Kasih Sayang
41,Kodi Utara,Noha,Ghewa Mopir
42,Kodi Utara,Noha,Dang Ndomoka
43,Kodi Utara,Noha,KWT Maranda
44,Kodi Utara,Noha,Wuku Wana
45,Kodi Utara,Noha,Nduka Milla
46,Kodi Utara,Noha,Bukit Doa
47,Kodi Utara,Waiholo,Milla Ate
48,Kodi Utara,Waiholo,Waimoto
49,Kodi Utara,Waiholo,Sumber Tani
50,Kodi Utara,Waiholo,Haro Dewa
51,Kodi Utara,Waiholo,Daha Kehe
52,Kodi Utara,Waiholo,Paghili Mera
53,Kodi Utara,Waiholo,KWT Walu Ate
54,Kodi Utara,Waiholo,KWT Mopir Kehe
55,Kodi Utara,Waiholo,Gegu Ole
56,Kodi Utara,Waiholo,Waipanoka Indah
57,Kodi Utara,Waiholo,Lara Loho
58,Kodi Utara,Waiholo,Maju Bersama
59,Kodi Utara,Waiholo,Mera Daha
60,Kodi Utara,Waiholo,Helu Waga
61,Kodi Utara,Waiholo,Wolla Deto
62,Kodi Utara,Waiholo,Marenda Kede
63,Kodi Utara,Waiholo,Beingo Kedhe I
64,Kodi Utara,Waiholo,Beingo Kedhe II
65,Kodi Utara,Limbu Kambe,Milla Ate
66,Kodi Utara,Limbu Kambe,Ole Milla
67,Kodi Utara,Limbu Kambe,Karya Tani
68,Kodi Utara,Limbu Kambe,Utu Dewa
69,Kodi Utara,Limbu Kambe,Kede Kehe
70,Kodi Utara,Limbu Kambe,Ana Manu Milla
71,Kodi Utara,Limbu Kambe,Matahari
72,Kodi Utara,Limbu Kambe,Tambur
73,Kodi Utara,Kalena Rongo,Matahari
74,Kodi Utara,Kalena Rongo,Mekar Tani
75,Kodi Utara,Moromanduyo,Paha Wungo
76,Kodi Utara,Homba Pare,Masa Depan
77,Kodi Utara,Homba Pare,Suka Maju
78,Kodi Utara,Homba Pare,Jama Eru
79,Kodi Utara,Homba Pare,Bengo Dadi
80,Kodi Utara,Homba Pare,Rada Daha
81,Kodi Utara,Homba Pare,Ladang Harapan
82,Kodi Utara,Homba Pare,Mata Rada
83,Kodi Utara,Homba Pare,Jama Ghila
84,Kodi Utara,Homba Pare,Kadeta Mopir
85,Kodi Utara,Homba Pare,Nommo Lodo
86,Kodi Utara,Homba Pare,Helu Waga
87,Kodi Utara,Homba Pare,Tunas Harapan
88,Kodi Utara,Kenduwela,Paha Wungo
89,Kodi Utara,Kenduwela,Mere Kehe
90,Kodi Utara,Kenduwela,Kamauta I
91,Kodi Utara,Kenduwela,Kadaba Daha
92,Kodi Utara,Kenduwela,Daun Hijau
93,Kodi Utara,Kenduwela,Daha Kehe
94,Kodi Utara,Kenduwela,Jaha Dili
95,Kodi Utara,Kenduwela,Lende Mopir
96,Kodi Utara,Kenduwela,Helu Wangga
97,Kodi Utara,Kenduwela,Komi Leko Ngedo 
98,Kodi Utara,Kenduwela,Heka Lori
99,Kodi Utara,Kenduwela,Kamauta II
100,Kodi Utara,Bila Cenge,Pawelli Belli
101,Kodi Utara,Bila Cenge,Ole Dobba
102,Kodi Utara,Bila Cenge,Suka Membangun
103,Kodi Utara,Bila Cenge,Harapan Sama 
104,Kodi Utara,Bila Cenge,Lende Moripa
105,Kodi Utara,Bila Cenge,Ole Ate
106,Kodi Utara,Bila Cenge,Eta Kua
107,Kodi Utara,Bila Cenge,Tata Sejahtera
108,Kodi Utara,Bila Cenge,Eka Milla
109,Kodi Utara,Bila Cenge,Perjuangan
110,Kodi Utara,Kadu Eta,Lolo Wunga
111,Kodi Utara,Kadu Eta,Iya Ate
112,Kodi Utara,Kadu Eta,Benya Dua
113,Kodi Utara,Kadu Eta,Milla Ate
114,Kodi Utara,Kadu Eta,Ndara Moddu
115,Kodi Utara,Kadu Eta,Duka Dengo
116,Kodi Utara,Kadu Eta,Gollu Wunga
117,Kodi Utara,Bukambero,Bila Karendi
118,Kodi Utara,Bukambero,Dua Debba
119,Kodi Utara,Bukambero,Korode
120,Kodi Utara,Wee Wella,Kalembu Danga
121,Kodi Utara,Wee Wella,Menne Ate
122,Kodi Utara,Wee Wella,Pakonda Watu
123,Kodi Utara,Wee Wella,Wee Mboro
124,Kodi Utara,Wee Wella,KWT Iya Ate
125,Kodi Utara,Wee Wella,Oba Kalada
126,Kodi Utara,Wee Wella,Dahlia
127,Kodi Utara,Wee Wella,KWT. Wali Ate
128,Kodi Utara,Wee Wella,KWT. Beina Ole
129,Kodi Utara,Wee Wella,KWT. Setia Kawan
130,Kodi Utara,Wee Wella,Kersaju
131,Kodi Utara,Wee Wella,KWT Melati
132,Kodi Utara,Wee Wella,Dua Awa
133,Kodi Utara,Wee Wella,Lighu Dewa
134,Kodi Utara,Wee Wella,Kadughu Moripa
135,Kodi Utara,Magho Linyo,Milla Ate
136,Kodi Utara,Magho Linyo,Ngindi Ate
137,Kodi Utara,Magho Linyo,Ngara Mbiata
138,Kodi Utara,Magho Linyo,Pemu Dadi
139,Kodi Utara,Magho Linyo,Lolo Ole
140,Wewewa Barat,Kalaki Kambe,Dua Awa
141,Wewewa Barat,Kalaki Kambe,Turra Baru
142,Wewewa Barat,Kalaki Kambe,Deta Ate
143,Wewewa Barat,Kalaki Kambe,Kabola Ate
144,Wewewa Barat,Kalaki Kambe,Dua Dede
145,Wewewa Barat,Kalaki Kambe,Suka Maju
146,Wewewa Barat,Kalaki Kambe,Tunas Mekar
147,Wewewa Barat,Kalaki Kambe,Raba Tana
148,Wewewa Barat,Kalaki Kambe,Sangu Ate
149,Wewewa Barat,Kalaki Kambe,Renda Ate
150,Wewewa Barat,Kalaki Kambe,Woda Ole
151,Wewewa Barat,Lolo Ole,Ate kaka
152,Wewewa Barat,Lolo Ole,Lolo Liida
153,Wewewa Barat,Lolo Ole,Raba Tana
154,Wewewa Barat,Lolo Ole,Eka Karya
155,Wewewa Barat,Lolo Ole,Wali Ate
156,Wewewa Barat,Lolo Ole,Sinar Baru
157,Wewewa Barat,Reda Pada,Mannu Ate
158,Wewewa Barat,Reda Pada,Eka Pata
159,Wewewa Barat,Reda Pada,Setia Kawan
160,Wewewa Barat,Lua Koba,Mawo Loda
161,Wewewa Barat,Lua Koba,Dua Dobba
162,Wewewa Barat,Lua Koba,Maida Ole
163,Wewewa Barat,Lua Koba,Renda Ate
164,Wewewa Barat,Lua Koba,Pabei Ate
165,Wewewa Barat,Lua Koba,Lua Koba
166,Wewewa Barat,Lua Koba,Suku Maju
167,Wewewa Barat,Lua Koba,Toleka Dobba
168,Wewewa Barat,Lua Koba,Dua Ate
169,Wewewa Barat,Marokota,Mannu Ate
170,Wewewa Barat,Marokota,Ana Rade
171,Wewewa Barat,Marokota,Mala Ege
172,Wewewa Barat,Marokota,Melati 
173,Wewewa Barat,Marokota,Bangkit Usaha
174,Wewewa Barat,Marokota,Usaha Subur
175,Wewewa Barat,Marokota,Moderen 
176,Wewewa Barat,Marokota,Kalola Moripa
177,Wewewa Barat,Marokota,Ana Tani
178,Wewewa Barat,Marokota,Ana Milla
179,Wewewa Barat,Sangu Ate,Kerjasama 
180,Wewewa Barat,Sangu Ate,Ndari tana
181,Wewewa Barat,Sangu Ate,Harapan Sama
182,Wewewa Barat,Kabali Dana,Persada
183,Wewewa Barat,Kabali Dana,Mawu Ate
184,Wewewa Barat,Kabali Dana,Rengga Moripa
185,Wewewa Barat,Kabali Dana,Lara Moripa
186,Wewewa Barat,Kabali Dana,Lolo Murri
187,Wewewa Barat,Wee Kombaka,Tagu Todu
188,Wewewa Barat,Wee Kombaka,Pabei Dobba
189,Wewewa Barat,Wee Kombaka,Iya Tekki
190,Wewewa Barat,Wee Kombaka,Kabola Ate
191,Wewewa Barat,Wee Kombaka,Raba Ate
192,Wewewa Barat,Wee Kombaka,Eta Belli
193,Wewewa Barat,Wee Kombaka,Delu Deke
194,Wewewa Barat,Pero,Ana leko
195,Wewewa Barat,Pero,Daka Danu
196,Wewewa Barat,Pero,Dua Awa
197,Wewewa Barat,Kalembu Weri,Tukku Rewo
198,Wewewa Barat,Kalembu Weri,Tanggu Renge
199,Wewewa Barat,Kalembu Weri,Manu Lalo
200,Wewewa Barat,Kalembu Weri,Ate Wolu
201,Wewewa Barat,Kalembu Weri,Beina Ole
202,Wewewa Barat,Kalembu Weri,Raba Tana
203,Wewewa Barat,Kalembu Weri,Mitra Usaha
204,Wewewa Barat,Kalembu Weri,Maru Mata
205,Wewewa Barat,Wee Kurra,Mawailo Wanno
206,Wewewa Barat,Wee Kurra,Maida ole I
207,Wewewa Barat,Wee Kurra,Rammi Lima
