no,no_bam,situs,poktan,desa,harga,ongkir,total
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50743/empty,Karya Bakti,Kejawan,9145000,496000,9641000
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50744/empty,Pakisan Jaya,Pakisan,4720000,256000,4976000
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50745/empty,Assubur,Brambang Darussalam,32450000,1760000,34210000
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50746/empty,Makmur Tani,Gunosari,6490000,352000,6842000
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50747/empty,Tlogomas,Tlogosari,10620000,576000,11196000
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50748/empty,Al-Barokah,Jebung Lor,4720000,256000,4976000
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50749/empty,Al Hikmah,Lombok Wetan,29500000,1600000,31100000
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50750/empty,Setia Kawan,Tumpeng,7670000,416000,8086000
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50751/empty,Tani Makmur,Bendoarum,16520000,896000,17416000
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50752/empty,Mitra Kita,Pelalangan,29205000,1584000,30789000
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50753/empty,Kelapa Gading,Pasarejo,5015000,272000,5287000
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50754/empty,Sumber Jaya,Sumberkalong,14750000,800000,15550000
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50755/empty,Sinar Abadi,Jumpong,29500000,1600000,31100000
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50756/empty,Al Barokah,Lombok Kulon,17700000,960000,18660000
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50757/empty,Sejahtera,Kapuran,41300000,2240000,43540000
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50758/empty,Sumber Urip,Wonosari,17110000,928000,18038000
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50759/empty,Suka Maju,Tangsil Wetan,17700000,960000,18660000
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50760/empty,Sawunggaling,Wonokusumo,13275000,720000,13995000
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50761/empty,Tani Jaya,Jurang Sapi,14750000,800000,15550000
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50762/empty,Tali Asih,Taal,5900000,320000,6220000
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50763/empty,Banjir Mas,Tapen,13865000,752000,14617000
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50764/empty,Kerang Makmur,Kerang,8850000,480000,9330000
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50765/empty,Subur Makmur,Pecalongan,11800000,640000,12440000
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50766/empty,Tani Subur,Nogosari,28910000,1568000,30478000
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50767/empty,Tunas Harapan,Sumber Gading,47200000,2560000,49760000
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50768/empty,Rejo Mulyo,Rejo Agung,14750000,800000,15550000
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50769/empty,Al Barokah,Sukosari Kidul,1475000,80000,1555000
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50770/empty,Tani Sejahtera,Tegaljati,10915000,592000,11507000
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50771/empty,Sukorejo Urip,Sukorejo,13275000,720000,13995000
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50772/empty,Tani Makmur,Wonoboyo,7965000,432000,8397000
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50773/empty,Bina Tani Maju,Besuk,9735000,528000,10263000
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50774/empty,Mandiri,Klampokan,8850000,480000,9330000
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50775/empty,Bina Sejahtera,Karang Sengon,14160000,768000,14928000
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50776/empty,Granada,Wonokerto,8850000,480000,9330000
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50777/empty,Suka Maju,Karang Anyar,19175000,1040000,20215000
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50778/empty,Tani Abadi,Sumber Suko,8850000,480000,9330000
37,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50779/empty,Blimbing Jaya,Blimbing,20650000,1120000,21770000
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50780/empty,Rimba Jaya,Bandilan,10915000,592000,11507000
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50781/empty,Sempol Jaya,Sempol,7375000,400000,7775000
40,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50782/empty,Tarum Jaya,Tarum,5900000,320000,6220000
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50783/empty,Gotong Royong,Prajekan Lor,7670000,416000,8086000
42,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50784/empty,Sumber Urip,Walidono,29500000,1600000,31100000
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50785/empty,Dewi Sri,Gayam Lor,8555000,464000,9019000
44,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50786/empty,Mangga Mas Jaya,Gayam,17110000,928000,18038000
45,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50787/empty,Barokah Tani,Klekehan,14750000,800000,15550000
46,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50788/empty,Tani Makmur,Pekauman,27435000,1488000,28923000
47,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50789/empty,Intan Mas,Botolinggo,6785000,368000,7153000
48,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50790/empty,Sejahtera,Cermee,17700000,960000,18660000
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50791/empty,Tirta Guna,Bercak,39825000,2160000,41985000
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50792/empty,Sumber Tani,Bercak Asri,42775000,2320000,45095000
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50793/empty,Jaohar,Kabuaran,44250000,2400000,46650000
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50794/empty,Sumber Jaya,Sumber Pandan,22125000,1200000,23325000
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50795/empty,Tani Makmur,Taman,23600000,1280000,24880000
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50796/empty,Sultan Jaya,Suling Wetan,11800000,640000,12440000
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50797/empty,Tani Makmur,Tegal Mijin,17700000,960000,18660000
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50798/empty,Rukun Tani,Grujugan,20650000,1120000,21770000
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50799/empty,Mandiri,Jetis,29500000,1600000,31100000
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50800/empty,Tani Maju,Solor,44250000,2400000,46650000
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50801/empty,Tani Makmur,Curahpoh,59000000,3200000,62200000
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50802/empty,Sumber Rejeki,Locare,44250000,2400000,46650000
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50803/empty,Ponco Jaya,Poncogati,11800000,640000,12440000
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50804/empty,Kupang Lestari,Kupang,39825000,2160000,41985000
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50805/empty,Bumi Makmur,Sumber Suko,23600000,1280000,24880000
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50806/empty,Wahyu Sejahtera,Selolembu,23600000,1280000,24880000
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50807/empty,Makmur Jaya,Tegalampel,29500000,1600000,31100000
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50808/empty,Sekarjaya Mandiri,Sekarputih,23600000,1280000,24880000
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50809/empty,Tani Maju,Klabang Agung,29500000,1600000,31100000
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50810/empty,Purnama Indah,Purnama,59000000,3200000,62200000
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50811/empty,Mekar Makmur Jaya,Kembang,44840000,2432000,47272000
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50812/empty,Panca Makmur Jaya,Pancoran,26550000,1440000,27990000
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50813/empty,Kusuma Tani,Kesemek,11505000,624000,12129000
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50814/empty,Sumber Tani,Dawuhan,39530000,2144000,41674000
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50815/empty,Makmur Tani Jaya,Tangsil Kulon,32450000,1760000,34210000
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50816/empty,Tirto Sembodo,Koncer Kidul,8850000,480000,9330000
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50817/empty,Karya Tani,Gebang,33925000,1840000,35765000
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50818/empty,Al Barokah,Kajar,56050000,3040000,59090000
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50819/empty,Maju Makmur,Koncer Darul Aman,44250000,2400000,46650000
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50820/empty,Bumi Harta,Traktakan,46315000,2512000,48827000
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50821/empty,Suka Makmur,Sumber Anom,25960000,1408000,27368000
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50822/empty,Makmur Jaya,Kalianyar,11800000,640000,12440000
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50823/empty,Padang Pasir,Pandak,47200000,2560000,49760000
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50824/empty,Suka Makmur,Mengen,35400000,1920000,37320000
83,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50825/empty,Sumber Tani,Kemirian,14750000,800000,15550000
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50826/empty,Tani Makmur,Lumutan,20650000,1120000,21770000
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50827/empty,Rejeki Tani,Tamanan,13570000,736000,14306000
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50828/empty,Tani Rejo,Sukosari,63720000,3456000,67176000
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50829/empty,Fajar Tani,Karang Melok,8850000,480000,9330000
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50830/empty,Tani Sejahtera,Grujugan Lor,10325000,560000,10885000
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50831/empty,Karya Tani Bersama,Padasan,35400000,1920000,37320000
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50832/empty,Darussholah,Jambesari,53100000,2880000,55980000
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50833/empty,Sumber Agung,Alas Sumur,82600000,4480000,87080000
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50834/empty,Podo Makmur,Pejagan,23600000,1280000,24880000
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50835/empty,Tani Maju,Maskuning Kulon,27140000,1472000,28612000
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50836/empty,Harapan,Pengarang,47200000,2560000,49760000
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50837/empty,Troto Maju,Trotosari,32450000,1760000,34210000
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50838/empty,Pelita Jaya,Sumberjeruk,50150000,2720000,52870000
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50839/empty,Pelopor Tani,Kembang,48675000,2640000,51315000
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50840/empty,Panca Karya,Jambeanom,14750000,800000,15550000
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50841/empty,Permata,Jebung Kidul,57525000,3120000,60645000
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50842/empty,Sumber Rejeki,Pucanganom,59000000,3200000,62200000
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50843/empty,Gema Tani,Maskuning Wetan,29500000,1600000,31100000
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50844/empty,Setia Kawan,Suko Kerto,23600000,1280000,24880000
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50845/empty,Tani Makmur Jaya,Randu Cangkring,2950000,160000,3110000
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50846/empty,Sulek Raya,Sulek,14750000,800000,15550000
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/50847/empty,Setia Jaya,Sukodono,5900000,320000,6220000
