no,No,situs,poktan,desa,bast,bast_file,total
1,1469,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80779/empty,Penyandingan I,Teluk Tenggulang,7375000,1469,8275000
2,1470,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80780/empty,Wajok Jaya II,Teluk Tenggulang,7375000,1470,8275000
3,1471,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80782/empty,Teluk Akar,Teluk Tenggulang,8850000,1471,9930000
4,1472,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80783/empty,Telaga Mas I,Teluk Tenggulang,19175000,1472,21515000
5,1473,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80784/empty,Ampera,Teluk Tenggulang,24485000,1473,27473000
6,1474,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80785/empty,Bone III,Teluk Tenggulang,37170000,1474,41706000
7,1475,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80786/empty,Wajok Jaya I,Teluk Tenggulang,36875000,1475,41375000
8,1476,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80787/empty,Sumber Rejeki,Teluk Tenggulang,8850000,1476,9930000
9,1477,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80790/empty,Telaga Mas II,Teluk Tenggulang,7375000,1477,8275000
10,1478,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80791/empty,Jaya Mukti,Suka Mulya,7375000,1478,8275000
11,1479,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80792/empty,Bunga Berkembang,Suka Mulya,5605000,1479,6289000
12,1480,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80793/empty,Mekar Jaya,Suka Mulya,4130000,1480,4634000
13,1481,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80794/empty,Mekar Sari,Suka Mulya,5605000,1481,6289000
14,1482,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80796/empty,Karya Bakti,Suka Mulya,7375000,1482,8275000
15,1483,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80798/empty,Batas Kota,Suka Mulya,4425000,1483,4965000
16,1484,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80799/empty,Tunas Mekar,Suka Mulya,4720000,1484,5296000
