no,image,situs,poktan,desa,bast,bast_file
376,1844,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81267/empty,Sederhana,Ganesha Mukti,18880000,1844
377,1845,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81268/empty,Setia Abadi,Ganesha Mukti,18290000,1845
378,1846,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81269/empty,Sinar Harapan,Ganesha Mukti,14160000,1846
379,1847,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81270/empty,Suko Makmur,Ganesha Mukti,19470000,1847
380,1848,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81271/empty,Tani Madu,Ganesha Mukti,21240000,1848
381,1849,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81272/empty,Tunas Karya,Ganesha Mukti,16225000,1849
382,1850,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81273/empty,Baru Muncul,Daya Kesuma,19470000,1850
383,1851,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81274/empty,Harapan Maju,Daya Kesuma,20060000,1851
384,1852,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81275/empty,Karya Tani,Daya Kesuma,18880000,1852
385,1853,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81276/empty,Mekar Tani,Daya Kesuma,17700000,1853
386,1854,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81277/empty,Ngudi Rahayu,Daya Kesuma,18880000,1854
387,1855,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81278/empty,Sido Dadi,Daya Kesuma,6490000,1855
388,1856,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81279/empty,Sido Mulyo,Daya Kesuma,5900000,1856
389,1857,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81280/empty,Sido Rukun,Daya Kesuma,18880000,1857
390,1858,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81281/empty,Sri Kuncung,Daya Kesuma,4130000,1858
391,1859,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81282/empty,Sri Rahayu,Daya Kesuma,4720000,1859
392,1860,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81283/empty,Suka Makmur,Daya Kesuma,5900000,1860
393,1861,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81284/empty,Sumber Rejeki,Daya Kesuma,9440000,1861
394,1862,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81285/empty,Sumber Sugih,Daya Kesuma,19470000,1862
395,1863,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81286/empty,Tani Maju,Daya Kesuma,20060000,1863
396,1864,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81287/empty,Ora Ngiro,Mekar Jaya,31270000,1864
397,1865,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81288/empty,Rukun Sejati,Mekar Jaya,42480000,1865
398,1866,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81289/empty,Rukun Sentosa,Mekar Jaya,41300000,1866
399,1867,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81290/empty,Setya Rahayu,Mekar Jaya,29500000,1867
400,1868,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81291/empty,Sido Dadi,Mekar Jaya,26550000,1868
401,1869,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81292/empty,Tani Jaya,Mekar Jaya,27730000,1869
402,1870,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81293/empty,Tani Makmur,Mekar Jaya,27730000,1870
403,1871,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81294/empty,Tenaga Baru,Mekar Jaya,32450000,1871
404,1872,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81296/empty,Tunas Harapan,Mekar Jaya,23600000,1872
405,1873,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81297/empty,Tunas Muda,Mekar Jaya,32450000,1873
406,1874,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81298/empty,Harapan Jaya,Jalur Mulya,20650000,1874
407,1875,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81300/empty,Harapan Maju,Jalur Mulya,7965000,1875
408,1876,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81301/empty,Karya Makmur,Jalur Mulya,30090000,1876
409,1877,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81302/empty,Karya Mukti,Jalur Mulya,17110000,1877
410,1878,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81303/empty,Karya Subur,Jalur Mulya,21240000,1878
411,1879,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81304/empty,Karya Tani A,Jalur Mulya,14160000,1879
412,1880,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81305/empty,Karya Tani B,Jalur Mulya,16225000,1880
