no,No,situs,poktan,desa,bast
1,2632,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90505/empty,Sumedulur,Karangreja,7375000
2,2633,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90506/empty,Karya Mukti,Karangreja,7375000
3,2634,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90507/empty,Agung Basuki,Karangreja,7375000
4,2635,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90508/empty,Kedawung Jaya,Karangreja,7375000
5,2636,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90509/empty,Harapan Indah,Cimanggu,5900000
6,2637,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90510/empty,Harapan Baru,Cimanggu,5900000
7,2638,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90511/empty,Serasi,Cimanggu,5900000
8,2639,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90512/empty,Gemah Ripah,Cimanggu,5900000
9,2640,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90513/empty,Rahayu,Bantarpanjang,5900000
10,2641,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90514/empty,Sri Mulyo,Cilempuyang,5900000
11,2642,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90515/empty,Sri Rejeki Mandiri,Cilempuyang,5900000
12,2643,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90516/empty,Krido Mukti,Cisalak,4425000
13,2644,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90517/empty,L.Tangerang Mukti,Cisalak,4425000
14,2645,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90518/empty,Sri Rahayu,Cibalung,4425000
15,2646,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90519/empty,Sri Bakti,Cibalung,4425000
16,2647,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90520/empty,Bakti Mulya,Cijati,5900000
17,2648,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90521/empty,Tani Makmur,Cijati,5900000
18,2649,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90522/empty,Aneka Guna,Mandala,5900000
19,2650,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90523/empty,Utama,Mandala,5900000
20,2651,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90524/empty,Kompak,Negarajati,4425000
21,2652,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90525/empty,Bakti Karya,Negarajati,4425000
22,2653,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90526/empty,Margo Makmur I,Pesahangan,4425000
23,2654,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90527/empty,Margo Makmur II,Pesahangan,4425000
24,2655,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90528/empty,Sri Cikawung Jaya,Kutabima,4425000
25,2656,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90529/empty,Jaya Tani,Kutabima,4425000
26,2657,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90530/empty,Harapan III,Panulisan Barat,8850000
27,2658,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90531/empty,Harapan IV,Panulisan Barat,8850000
28,2659,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90532/empty,Mandiri,Panulisan Barat,8850000
29,2660,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90533/empty,Karya Tani I,Panulisan,7375000
30,2661,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90534/empty,Karya Tani II,Panulisan,7375000
31,2662,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90535/empty,Karya Tani VII,Panulisan,7375000
32,2663,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90536/empty,Karya Tani X,Panulisan,7375000
33,2664,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90537/empty,Karya Tani Xi,Panulisan,7375000
34,2665,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90538/empty,Karya Tani,Panulisan Timur,10325000
35,2666,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90539/empty,Panca Karya,Panulisan Timur,7375000
36,2667,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90540/empty,Karya Mukti,Panulisan Timur,5900000
37,2668,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90541/empty,Karya Maju I,Ciwalen,5900000
38,2669,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90542/empty,Karya Maju II,Ciwalen,5900000
39,2670,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90543/empty,Harapan Mekar,Ciwalen,5900000
40,2671,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90544/empty,Sangkan Hurip V,Dayeuhluhur,8850000
41,2672,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90546/empty,Sangkan Hurip VI,Dayeuhluhur,10325000
42,2673,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90547/empty,Sangkan Hurip VII,Dayeuhluhur,7375000
43,2674,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90548/empty,Mugi Barokah,Dayeuhluhur,5900000
44,2675,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90549/empty,Sumber Makmur I,Hanum,8850000
45,2676,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90550/empty,Ganda Sari I,Datar,15340000
46,2677,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90552/empty,Harapan I,Bingkeng,8850000
47,2678,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90553/empty,Karya Bhakti,Bingkeng,5900000
48,2679,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90554/empty,Tirta Harja II,Bolang,14750000
49,2680,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90555/empty,Tirta Harja III,Bolang,7375000
50,2681,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90556/empty,Saluyu II,Kutaagung,7375000
51,2682,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90557/empty,Saluyu V,Kutaagung,7375000
52,2683,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90558/empty,Kujang,Cijeruk,7375000
53,2684,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90559/empty,Harapan Mekar III,Sumpinghayu,7375000
54,2685,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90560/empty,Karya Mukti,Madusari,8850000
55,2686,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90561/empty,Sinar Usaha I,Madusari,8850000
56,2687,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90562/empty,Mandiri,Madusari,8850000
57,2688,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90563/empty,Wargi Saluyu,Madusari,8850000
58,2689,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90564/empty,Sri Saluyu,Madusari,8850000
59,2690,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90565/empty,Bina Karya I,Majingklak,8850000
60,2691,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90566/empty,Bina Karya II,Majingklak,8850000
61,2692,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90567/empty,Mulya Mukti I,Majingklak,8850000
62,2693,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90568/empty,Karya Mukti II,Majingklak,8850000
63,2694,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90569/empty,Marga Rahayu,Majingklak,8850000
64,2695,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90570/empty,Serba Guna II,Majingklak,8850000
65,2696,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90571/empty,Manggala Karya Mukti,Majingklak,8850000
66,2697,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90572/empty,Tirta Raharja IV,Majingklak,8850000
67,2698,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90573/empty,Sri Mukti I,Majingklak,8850000
68,2699,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90574/empty,Harapan Makmur,Bantar,8850000
69,2700,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90575/empty,Sinar Saluyu,Jambu,8850000
70,2701,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90576/empty,Tani Makmur,Jambu,8850000
71,2702,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90577/empty,Makmur Jaya,Widarapayung Wetan,7375000
72,2703,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90578/empty,Sido Rukun,Widarapayung Wetan,9440000
73,2704,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90579/empty,Sido Adil,Widarapayung Wetan,9440000
74,2705,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90580/empty,Karya Usaha Tani,Widarapayung Kulon,15340000
75,2706,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90581/empty,Karya Utama,Widarapayung Kulon,10620000
76,2707,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90582/empty,Jatimalang I,Sidayu,7965000
77,2708,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90584/empty,Jatimalang II,Sidayu,7965000
78,2709,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90585/empty,Sida Dadi,Sidaurip,15340000
79,2710,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90587/empty,Sida Wangi,Sidaurip,8850000
80,2711,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90588/empty,Ngudi Lestari,Sidaurip,8850000
81,2712,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90589/empty,Sri Rejeki,Sidaurip,8850000
82,2713,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90590/empty,Tlaga Sari,Pagubugan Kulon,6195000
83,2714,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90591/empty,Tani Muda Sejahtera,Pagubugan Kulon,5015000
84,2715,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90592/empty,Mekar Tanjung,Pagubugan Kulon,5310000
85,2716,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90593/empty,Dharma Bhakti,Jati,5015000
86,2717,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90594/empty,Tani Maju,Jati,5900000
87,2718,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90595/empty,Sumber Makmur,Bantarsari,5900000
88,2719,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90596/empty,Karya Makmur,Bantarsari,5900000
89,2720,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90597/empty,Sari Makmur,Bantarsari,5900000
90,2721,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90598/empty,Sri Makmur,Bantarsari,5900000
91,2722,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90665/empty,Barokah,Rawajaya,5900000
92,2723,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90666/empty,Sumber Rejeki,Rawajaya,5900000
93,2724,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90667/empty,Tani Jaya,Rawajaya,5900000
94,2725,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90668/empty,Reong Sari,Rawajaya,2950000
95,2726,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90669/empty,Unggul Rahayu,Bulaksari,4425000
96,2727,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90670/empty,Mukti Sari,Bulaksari,2950000
97,2728,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90671/empty,Ngudi Gemi,Bulaksari,2950000
98,2729,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90672/empty,Karya Makmur,Bulaksari,2950000
99,2730,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90673/empty,Tirta Kencana,Binangun,2950000
100,2731,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90674/empty,Sumber Makmur,Binangun,2950000
101,2732,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90675/empty,Mina Tirta,Binangun,2950000
102,2733,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90676/empty,Ngudi Mulya,Binangun,2950000
103,2734,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90677/empty,Sri Rejeki,Kamulyan,2950000
104,2735,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90678/empty,Margi Raharajo,Kamulyan,2950000
105,2736,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90679/empty,Budi Santoso I,Kamulyan,7375000
106,2737,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90680/empty,Budi Santoso II,Kamulyan,5900000
107,2738,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90681/empty,Larasati I,Cikedondong,2950000
108,2739,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90682/empty,Margo Mulyo I,Cikedondong,2950000
109,2740,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90683/empty,Sri Makmur I,Kedungwadas,2950000
110,2741,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90684/empty,Sri Makmur II,Kedungwadas,2950000
111,2742,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90685/empty,Wadas Sari,Kedungwadas,2950000
112,2743,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90686/empty,Karya Bakti,Citembong,2950000
113,2744,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90687/empty,Karya Makmur,Citembong,2950000
114,2745,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90688/empty,Sido Trubus,Slarang,8850000
115,2746,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90689/empty,Sri Rahayu 1,Slarang,5900000
116,2747,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90690/empty,Sri Rahayu 2,Slarang,5900000
117,2748,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90691/empty,Sri Rahayu 3,Slarang,5900000
118,2749,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90692/empty,Maju Karya,Slarang,5900000
119,2750,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90693/empty,Bina Sejahtera,Slarang,5900000
120,2751,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90694/empty,Bina Usaha,Slarang,5900000
121,2752,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/90695/empty,Ngudi Rahayu,Slarang,5900000
