no,nomor,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86390/empty,Tanjung Ronge,Pulau Kijang
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86391/empty,Tuah Sepakat I,Pulau Kijang
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86392/empty,Tuah Sepakat II,Pulau Kijang
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86393/empty,Tuah Saiyo,Pulau Kijang
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86394/empty,Serumpun Padi,Koto Tuo
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86395/empty,Perupuk Jaya,Pasar Usang
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86396/empty,Rawang Pulau Jernih,Pulaumadinah
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86397/empty,Pematang Salung Indah,Pulaumadinah
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86398/empty,Rawang Kuwang,Pulaumadinah
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86399/empty,Jolok Subur,Pulaumadinah
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86401/empty,Tunas Harapan,Pulaumadinah
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86402/empty,Lembah Sago,Kampung Tengah
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86403/empty,Kiambang Terapung,Kampung Tengah
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86404/empty,Bunga Seroja,Kampung Tengah
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86405/empty,Rawang Duri,Kampung Tengah
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86406/empty,Pebatu I,Kepala Pulau
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86407/empty,Pebatu II,Kepala Pulau
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86408/empty,Pebatu III,Kepala Pulau
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86409/empty,Pebatu IV,Kepala Pulau
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86410/empty,Tabalai Hulu,Kepala Pulau
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86411/empty,Seroja,Kepala Pulau
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86412/empty,Kembang Air,Kepala Pulau
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86413/empty,Jambu Mawar,Kepala Pulau
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86414/empty,Rawang Duri I,Kepala Pulau
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86415/empty,Kompe,Kepala Pulau
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86416/empty,Punggai,Kepala Pulau
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86417/empty,Mekar  Melati,Gunung
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/86418/empty,Kumpai Harapan,Koto Gunung
