no,nomor,situs,poktan,desa,bast
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91811/empty,Mekar Jaya,Plakaran,7375000
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91812/empty,Sumber Rejeki 3,Walangsanga,2950000
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91813/empty,Subur 2,Mandiraja,10325000
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91815/empty,Subur VI,Mandiraja,11210000
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91816/empty,Subur Makmur III,Gendoang,2950000
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91817/empty,Subur Makmur IV,Gendoang,6195000
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91819/empty,Karangbulu I,Sima,2950000
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91820/empty,Karangbulu II,Sima,4425000
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91821/empty,Tangkuban,Sima,10325000
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91823/empty,Tani Makmur,Pepedan,2950000
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91824/empty,Tunas Tani,Pepedan,5900000
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91825/empty,Lohjinawi,Moga,2950000
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91827/empty,Tani Jaya,Moga,2950000
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91828/empty,Tani Bakti,Moga,2950000
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91830/empty,Toto Raharjo,Kebanggan,4425000
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91832/empty,Karya Jaya,Banyumudal,5900000
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91833/empty,Kusuma Jaya,Banyumudal,2950000
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91844/empty,Tani Bahagia VI,Mereng,7375000
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91845/empty,Tani Bahagia IV,Datar,5900000
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91846/empty,Sidodadi IV,Warungpring,7375000
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91847/empty,Sidodadi II,Warungpring,8850000
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91848/empty,Tunas Harapan,Warungpring,8850000
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91849/empty,Tani Lancar,Pakembaran,5900000
