no,image,situs,poktan,desa,bast,ongkir,tanggal_nofix
955,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75980/empty,Sikio Baji,Mangadu,5015000,612000,03-10-2023
956,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75981/empty,Sunggumanai,Mangadu,4425000,540000,03-10-2023
957,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75982/empty,Turikale,Mangadu,3835000,468000,03-10-2023
958,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75983/empty,Mekarsari,Lakatong,5605000,684000,03-10-2023
959,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75984/empty,Pa'gannakkang 2,Lakatong,4425000,540000,03-10-2023
960,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75985/empty,Sipakainga,Lakatong,4425000,540000,03-10-2023
961,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75986/empty,Bontoa,Banggae,3540000,432000,03-10-2023
962,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75987/empty,Sipakainga,Banggae,3835000,468000,03-10-2023
963,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75988/empty,Subur Prima,Banggae,5310000,648000,03-10-2023
964,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75989/empty,Abbulosibatang,Topejawa,4425000,540000,03-10-2023
965,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75990/empty,Appakabaji,Topejawa,4720000,576000,03-10-2023
966,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75991/empty,Campaga Bangung,Topejawa,4425000,540000,03-10-2023
967,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75992/empty,Agung Jaya,Lengkese,5015000,612000,03-10-2023
968,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75993/empty,Baddo Pangkaya,Lengkese,3540000,432000,03-10-2023
969,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/75994/empty,Baji Pa'mai,Lengkese,3540000,432000,03-10-2023
970,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76004/empty,Bina Sejahtera,Lengkese,3540000,432000,03-10-2023
971,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76005/empty,Makmur Jaya,Lengkese,4425000,540000,03-10-2023
972,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76006/empty,Assamaturu,Lengkese,3245000,396000,03-10-2023
973,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76007/empty,Maju Makmur,Lengkese,2065000,252000,03-10-2023
974,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76008/empty,Masunggua,Lengkese,2950000,360000,03-10-2023
975,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76009/empty,Pangamaseang,Lengkese,2950000,360000,03-10-2023
976,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76010/empty,Baji Ampe,Lengkese,3835000,468000,03-10-2023
977,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76011/empty,Batu Loe,Lengkese,5900000,720000,03-10-2023
978,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76012/empty,Bontoa Jaya,Lengkese,2360000,288000,03-10-2023
979,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76013/empty,Bontobaddo II,Lengkese,5310000,648000,03-10-2023
980,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76014/empty,Bontopa'Ja I,Bontomanai,6785000,828000,03-10-2023
981,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76015/empty,Sikatutui II,Bontomanai,2655000,324000,03-10-2023
982,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76016/empty,Sumber Resky,Bontomanai,5900000,720000,03-10-2023
983,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76017/empty,Abbulosibatang II,Bontomanai,6785000,828000,03-10-2023
984,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76018/empty,Sipakalabbiri,Bontomanai,1475000,180000,03-10-2023
985,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76019/empty,Balang Sejahterah,Bontomanai,3835000,468000,03-10-2023
986,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76020/empty,Sunggu Manai,Bontomanai,2950000,360000,03-10-2023
987,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76021/empty,Bontomanai,Bontomanai,4425000,540000,03-10-2023
988,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76022/empty,Bontomanai II,Bontomanai,10030000,1224000,03-10-2023
989,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76023/empty,Bonto Pa'Ja Iv,Bontomanai,3540000,432000,03-10-2023
990,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76024/empty,Kamajuanta,Bontomanai,7080000,864000,03-10-2023
991,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76025/empty,Sikatutui I,Bontomanai,3835000,468000,03-10-2023
992,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76026/empty,Sipakatutu II,Bontomanai,2655000,324000,03-10-2023
993,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76027/empty,Toddopuli I,Bontomanai,6785000,828000,03-10-2023
994,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76028/empty,Balang II,Bontomanai,2950000,360000,03-10-2023
995,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76029/empty,Bonto Bila Jaya II,Bontomanai,5900000,720000,03-10-2023
996,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76030/empty,Primadani,Bontomanai,2655000,324000,03-10-2023
997,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76031/empty,Sipattojeng,Bontomanai,2950000,360000,03-10-2023
998,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76032/empty,Kampung Parang III,Cikoang,6195000,756000,03-10-2023
999,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76033/empty,Panyangkalang I,Panyangkalang,7670000,936000,03-10-2023
1000,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76034/empty,Sipakalabbiri,Panyangkalang,7375000,900000,03-10-2023
1001,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76035/empty,Bunga Angrek,Panyangkalang,4130000,504000,03-10-2023
1002,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76036/empty,Pangkajene Berkarya,Panyangkalang,5900000,720000,03-10-2023
1003,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76037/empty,Lure,Panyangkalang,6490000,792000,03-10-2023
1004,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76038/empty,Karya Mandiri,Panyangkalang,4720000,576000,03-10-2023
1005,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76039/empty,Ady Karya,Panyangkalang,3540000,432000,03-10-2023
1006,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76040/empty,Rahmat Jaya,Panyangkalang,3540000,432000,03-10-2023
1007,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76041/empty,Panrannuanta,Bontomanai,5900000,720000,03-10-2023
1008,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76042/empty,Silewai,Bontoparang,4425000,540000,03-10-2023
1009,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76043/empty,Julukanaya,Bontoparang,3835000,468000,03-10-2023
1010,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76044/empty,Sinar Mentari,Bontoparang,5310000,648000,03-10-2023
1011,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76045/empty,Cinna Pampang,Pattopakang,4130000,504000,03-10-2023
1012,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76046/empty,Minasa Te'Ne,Pattopakang,2950000,360000,03-10-2023
1013,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76047/empty,Appakabaji,Laikang,2065000,252000,03-10-2023
1014,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76048/empty,Maju Bersama,Laikang,7375000,900000,03-10-2023
1015,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76049/empty,Baji Pa'Mai,Laikang,4720000,576000,03-10-2023
1016,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76050/empty,Harapan Baru,Laikang,5015000,612000,03-10-2023
1017,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76051/empty,Karama,Laikang,4720000,576000,03-10-2023
1018,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76052/empty,Mabbulosibatang,Laikang,4720000,576000,03-10-2023
1019,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76053/empty,Ongkoa Jaya,Laikang,5015000,612000,03-10-2023
1020,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76054/empty,Pandala Jaya,Laikang,5310000,648000,03-10-2023
1021,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76055/empty,Pandala Subur,Laikang,3245000,396000,03-10-2023
1022,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76056/empty,Puntondi 2,Laikang,5310000,648000,03-10-2023
1023,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76057/empty,Sinar Boddia,Laikang,4425000,540000,03-10-2023
1024,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76058/empty,Usaha Jujur,Laikang,5900000,720000,03-10-2023
1025,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76059/empty,Minasa Baji,Patani,3245000,396000,03-10-2023
1026,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76060/empty,Abbulosiba Tang,Balangdatu,4425000,540000,03-10-2023
1027,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76061/empty,Bunga Sarre,Balangdatu,4425000,540000,03-10-2023
1028,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76062/empty,Kanaraya,Balangdatu,4720000,576000,03-10-2023
1029,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76063/empty,Panrannuanta,Balangdatu,5310000,648000,03-10-2023
1030,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76064/empty,Bina Sejahtera,Maccini Baji,5015000,612000,03-10-2023
1031,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76065/empty,Surya Sejati,Maccini Baji,4425000,540000,03-10-2023
1032,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76066/empty,Harapan Kita,Mattiro Baji,5015000,612000,03-10-2023
1033,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76067/empty,Sikatutui,Banyuanyara,4425000,540000,03-10-2023
1034,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76068/empty,Juluatia,Banyuanyara,3540000,432000,03-10-2023
1035,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76069/empty,Anugaerah  Pakali,Banyuanyara,4425000,540000,03-10-2023
1036,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76070/empty,Minasa Baji,Banyuanyara,4130000,504000,03-10-2023
1037,83/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76071/empty,Samboritta I,Banyuanyara,4425000,540000,03-10-2023
1038,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76072/empty,Baji Areng,Banyuanyara,4425000,540000,03-10-2023
1039,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76073/empty,Tubarania,Banyuanyara,4130000,504000,03-10-2023
1040,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76074/empty,Bungung Barania,Tonasa,3540000,432000,03-10-2023
1041,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76075/empty,Pa'makkanga,Tonasa,3540000,432000,03-10-2023
1042,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76076/empty,Sepakat,Tonasa,3540000,432000,03-10-2023
1043,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76077/empty,Tobanga,Tonasa,3540000,432000,03-10-2023
1044,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76078/empty,Tonasa I,Tonasa,4130000,504000,03-10-2023
1045,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76079/empty,Tunas Muda,Tonasa,3540000,432000,03-10-2023
1046,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76080/empty,Baji Minasa,Tonasa,3540000,432000,03-10-2023
1047,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/76081/empty,Abbulo Sibatang,Tonasa,9440000,1152000,03-10-2023
