no,no_bam,situs,poktan,desa,bast,bast_file,ongkir,tanggal
1,354/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79238/empty,Buttu Siendekan,Belau,3540000,354.jpg,432000,07-10-2023
2,355/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79239/empty,Minanga,Belau,2950000,355.jpg,360000,07-10-2023
3,356/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79240/empty,Suka Maju Itap,Belau Utara,2065000,356.jpg,252000,07-10-2023
4,357/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79241/empty,Lemo,Belau Utara,3835000,357.jpg,468000,07-10-2023
5,358/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79242/empty,Laun,Belau Utara,2950000,358.jpg,360000,07-10-2023
6,359/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79243/empty,Barana Mamali,Belau Utara,3540000,359.jpg,432000,07-10-2023
7,360/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79244/empty,Kalaka,Kadundung,3540000,360.jpg,432000,07-10-2023
8,361/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79245/empty,Panura Tappan,Kadundung,3540000,361.jpg,432000,07-10-2023
9,362/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79246/empty,Bombong,Paku,2360000,362.jpg,288000,07-10-2023
10,363/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79247/empty,Sangkutu Banne,Paku,2360000,363.jpg,288000,07-10-2023
11,364/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79248/empty,Sipanunduk Gotta,Paliorong,1475000,364.jpg,180000,07-10-2023
12,365/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79249/empty,Buttu Borong,Pondingao',2950000,365.jpg,360000,07-10-2023
13,366/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79250/empty,Rura Sikamase,Pondingao',2360000,366.jpg,288000,07-10-2023
14,367/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79251/empty,Sangkutu Banne,Pondingao',2360000,367.jpg,288000,07-10-2023
15,368/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79252/empty,Madandan,Ratte,2950000,368.jpg,360000,07-10-2023
16,369/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79253/empty,Palli,Ratte,3835000,369.jpg,468000,07-10-2023
17,370/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79254/empty,Salu Rea Bayo,Sesesalu,2950000,370.jpg,360000,07-10-2023
18,371/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79255/empty,Batupapan,Sesesalu,3540000,371.jpg,432000,07-10-2023
19,372/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79256/empty,Kandua Bersatu,Kandua',4425000,372.jpg,540000,05-10-2023
20,373/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79257/empty,Kandua Bangkit,Kandua',2950000,373.jpg,360000,05-10-2023
