no,no,situs,poktan,desa,bast,file,ongkir
2,355/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79239/empty,Minanga,Belau,2950000,355.pdf,360000
3,356/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79240/empty,Suka Maju Itap,Belau Utara,2065000,356.pdf,252000
4,357/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79241/empty,Lemo,Belau Utara,3835000,357.pdf,468000
5,358/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79242/empty,Laun,Belau Utara,2950000,358.pdf,360000
6,359/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79243/empty,Barana Mamali,Belau Utara,3540000,359.pdf,432000
7,360/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79244/empty,Kalaka,Kadundung,3540000,360.pdf,432000
8,361/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79245/empty,Panura Tappan,Kadundung,3540000,361.pdf,432000
9,362/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79246/empty,Bombong,Paku,2360000,362.pdf,288000
10,363/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79247/empty,Sangkutu Banne,Paku,2360000,363.pdf,288000
11,364/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79248/empty,Sipanunduk Gotta,Paliorong,1475000,364.pdf,180000
12,365/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79249/empty,Buttu Borong,Pondingao',2950000,365.pdf,360000
13,366/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79250/empty,Rura Sikamase,Pondingao',2360000,366.pdf,288000
