no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92108/empty,Begading Jaya,Sarang Halang
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92109/empty,Gunung Kapur,Ambungan
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92110/empty,Barokah Bersama,Ambungan
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92111/empty,Tekad,Ambungan
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92112/empty,Karya Tani,Bumi Jaya
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92113/empty,Kayuh Baimbai,Guntung Besar
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92114/empty,Harapan Baru,Guntung Besar
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92115/empty,Sepakat Bersama,Guntung Besar
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92116/empty,Usaha Karya Tani,Ujung Batu
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92117/empty,Belabar Sejahtera,Ujung Batu
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92118/empty,Harapan Bersama,Ujung Batu
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92119/empty,Hadil Jingah Lantang,Ujung Batu
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92120/empty,Sejahtera Bersama,Angsau
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92121/empty,Katunun Harapan,Telaga
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92122/empty,Makmur,Telaga
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92123/empty,Harapan Baru,Telaga
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92124/empty,Kerjasama,Telaga
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92125/empty,Jakasuma,Telaga
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92126/empty,Usaha Baru Bersama,Telaga
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92127/empty,Sinar Membangun,Telaga
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92128/empty,Telaga Bersatu,Telaga
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92129/empty,Mekar Tani,Telaga
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92130/empty,Bina Karya,Telaga
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92131/empty,Sumber Harapan Makmur,Telaga
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92132/empty,Kwt Maju Bersama,Telaga
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92133/empty,Cinta Maju,Pelaihari
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92134/empty,Tamban Baru,Pelaihari
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92135/empty,Rahmad Ibu,Pelaihari
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92136/empty,Mekar Sari,Pelaihari
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92137/empty,Awang Batuah,Pelaihari
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92138/empty,Maju Bersama,Pelaihari
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92139/empty,Lestari,Pelaihari
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92140/empty,Sejahtera,Pelaihari
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/92141/empty,Santol I,Panggung
