no,no_bam,situs,poktan,desa,bast
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88574/empty,Makmur,Sigalangan,3540000
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88575/empty,Sadar,Sigalangan,4720000
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88576/empty,Sadar II,Sigalangan,5900000
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88577/empty,Maju Saba Bale,Sigalangan,4720000
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88578/empty,Maju,Sigalangan,5900000
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88579/empty,Harapan Maju,Sigalangan,5900000
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88580/empty,Melati,Sigalangan,5900000
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88581/empty,Dalihan Natolu,Sigalangan,4425000
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88582/empty,Nabujing,Padang Kahombu,5900000
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88583/empty,Serasi,Padang Kahombu,5605000
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88584/empty,Makmur,Padang Kahombu,2950000
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88585/empty,Sempurna,Bargot Topong,5310000
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88586/empty,Serumpun,Sibulele Muara,6490000
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88587/empty,Sumber Makmur,Sibulele Muara,5900000
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88588/empty,Harapan Maju,Bargot Topong,5900000
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88589/empty,Mekar,Sibulele Muara,5310000
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88590/empty,Dosnitahi,Sibulele Muara,5900000
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88591/empty,Satahi,Sibulele Muara,5900000
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88592/empty,Sukarela,Sibulele Muara,5900000
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88593/empty,Am Bulung,Sidadi I,5900000
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88594/empty,Restu,Sidadi I,5900000
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88595/empty,Sejahtera Bersama,Sidadi I,4425000
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88596/empty,Serumpun,Sidadi I,8850000
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88597/empty,Harapan,Hurase,7375000
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88598/empty,Sukses,Hurase,7375000
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88599/empty,Sepakat,Sorimadingin PP,4425000
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88600/empty,Ikhlas,Hurase,5900000
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88601/empty,Saroha,Huta Padang,3540000
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88602/empty,Manggis,Huta Padang,2950000
