no,no_bam,situs,poktan,desa
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80296/empty,Sahabat,Nonongan Selatan
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80297/empty,Lemba Annan,Nonongan Selatan
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80298/empty,Solo,Salu
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80299/empty,Sukamaju,Marante
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80300/empty,Harapan Bersama,Tombang Langda
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80301/empty,Dekko,Langda
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80302/empty,Ratte-Ratte,Nonongan Selatan
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80303/empty,Rante Bo'ne,Tallung Penanian
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80304/empty,Tambunan Limbong,Tallung Penanian
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80305/empty,P3A Mata Salu,Tallung Penanian
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80306/empty,Siangkaran,Tallung Penanian
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80307/empty,Banne Malapu',Tallung Penanian
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80308/empty,Misa' Penaa,Pata'padang
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80309/empty,Mengguliling,Pata'padang
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80310/empty,Rakka' Sangpulo,Pata'padang
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80311/empty,Saluasa,Pata'padang
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80312/empty,To' Babangan,Pata'padang
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80313/empty,Lion Kalimbuang,Pata'padang
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80314/empty,KWT Cabe Rawit,Pata'padang
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80315/empty,Milinium,Paepalean
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80316/empty,Jaya Ambolong,Paepalean
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80317/empty,Dalonga,Paepalean
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80318/empty,Tarra',Paepalean
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80319/empty,To' Bubun,Paepalean
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80320/empty,Sidikkanan,Paepalean
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80321/empty,Karassik,La'bo'
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80322/empty,Pamo'to',La'bo'
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80323/empty,Mekar Sari,La'bo'
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80324/empty,Randan Uma,La'bo'
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80325/empty,To' Uru Mada,La'bo'
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80326/empty,Tallu Tarukna,La'bo'
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80327/empty,Buntu Susan,Tandung La'bo'
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80328/empty,Pong Banni,Tandung La'bo'
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80329/empty,Tandung Indah,Tandung La'bo'
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80330/empty,Malabo,Tandung La'bo'
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80331/empty,Mase-Mase,Tandung La'bo'
37,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80332/empty,Rano,Tandung La'bo'
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80333/empty,Tallu Bakaa,Buntu La'bo'
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80334/empty,Sarong Kua,Buntu La'bo'
