no,no_bam,situs,poktan,desa
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80352/empty,Sikamalik Pelendongan,Rantebua
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80359/empty,Sikamali Pelendongan,Rantebua Sumalu
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80387/empty,To' Korro',Tallunglipu
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80411/empty,Penduan Ra'ba II,Mai'ting
117,117/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80412/empty,Penduan Raba,Mai'ting
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80413/empty,Sikamali',Buntu Batu
119,119/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80414/empty,Urang-Urang,Buntu Batu
120,120/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80415/empty,Pokka Lotong,Buntu Batu
121,121/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80416/empty,To Otin,Buntu Batu
122,122/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80417/empty,To' Nakka,Lo'ko' Uru
123,123/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80418/empty,To Induk,Lo'ko' Uru
125,125/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80420/empty,Landuttu,Rindingallo
126,126/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80421/empty,Melati Ka'bi',Lempo Poton
127,127/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80422/empty,To Nankka,Lempo Poton
129,129/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80424/empty,Lo'ko Lemo,Buntu Batu
139,139/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80434/empty,Kalumpang,Balusu
146,146/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80441/empty,P3A Sirenden,Issong Kalua'
148,148/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80443/empty,Pa'pisungan,Buntu Minanga
149,149/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80444/empty,Tamana,Batu Busa
150,150/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80445/empty,Subur Sejahtra,Parandangan
151,151/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80446/empty,Siporannu,Pangkung Batu
152,152/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80447/empty,Sirannuan Matande,Paonganan
153,153/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80448/empty,Sapan,Sapan
