no,image,situs,poktan,desa,bast,total,tanggal,ongkir
1,459/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104752/empty,Rulih Adi Mejingkat II,Lau Garut,7375000,8275000,07-11-2023,900000
2,460/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104754/empty,Rulih Adi Mejingkat I,Lau Garut,7375000,8275000,07-11-2023,900000
3,461/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104756/empty,Juma Delleng,Lau Garut,7375000,8275000,07-11-2023,900000
4,462/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104758/empty,Lagasima I,Lau Garut,7375000,8275000,07-11-2023,900000
5,463/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104760/empty,Lagasima II,Lau Garut,7375000,8275000,07-11-2023,900000
6,464/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104762/empty,Maju Bersama,Lau Garut,7375000,8275000,07-11-2023,900000
7,465/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104764/empty,Mekar Jaya,Lau Garut,7080000,7944000,07-11-2023,864000
8,466/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104766/empty,Simpati,Lau Garut,7375000,8275000,07-11-2023,900000
9,467/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104768/empty,Dostahi,Lau Garut,7670000,8606000,07-11-2023,936000
10,468/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104771/empty,Bersaudara,Lau Garut,7375000,8275000,07-11-2023,900000
11,469/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104773/empty,Jati Putih,Lau Garut,7375000,8275000,07-11-2023,900000
12,470/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104775/empty,Jati Putih II,Lau Garut,7375000,8275000,07-11-2023,900000
13,471/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104777/empty,Lestari,Lau Garut,8260000,9268000,07-11-2023,1008000
14,472/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104779/empty,Sangap Encari,Tanjung Pamah,9440000,10592000,07-11-2023,1152000
15,473/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104780/empty,Jumpa Rejeki,Tanjung Pamah,10030000,11254000,07-11-2023,1224000
16,474/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104783/empty,Karya Tani,Tanjung Pamah,10325000,11585000,07-11-2023,1260000
17,475/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104785/empty,Setia Tani,Tanjung Pamah,10620000,11916000,07-11-2023,1296000
18,476/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104787/empty,Wanita Arih Ersada,Tanjung Pamah,10030000,11254000,07-11-2023,1224000
19,477/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104789/empty,Tunas Baru,Tanjung Pamah,9440000,10592000,07-11-2023,1152000
20,478/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104791/empty,Ola Kisat,Tanjung Pamah,10030000,11254000,07-11-2023,1224000
21,479/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104793/empty,Mbuah Page,Tanjung Pamah,11800000,13240000,07-11-2023,1440000
22,480/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104795/empty,Persadanta,Tanjung Pamah,12980000,14564000,07-11-2023,1584000
23,481/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104797/empty,Abadi,Tanjung Pamah,12390000,13902000,07-11-2023,1512000
