no,no_bam,situs,poktan,desa,bast
1,459,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104752/empty,Rulih Adi Mejingkat II,Lau Garut,7375000
2,460,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104754/empty,Rulih Adi Mejingkat I,Lau Garut,7375000
3,461,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104756/empty,Juma Delleng,Lau Garut,7375000
4,462,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104758/empty,Lagasima I,Lau Garut,7375000
5,463,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104760/empty,Lagasima II,Lau Garut,7375000
6,464,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104762/empty,Maju Bersama,Lau Garut,7375000
7,465,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104764/empty,Mekar Jaya,Lau Garut,7080000
8,466,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104766/empty,Simpati,Lau Garut,7375000
9,467,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104768/empty,Dostahi,Lau Garut,7670000
10,468,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104771/empty,Bersaudara,Lau Garut,7375000
11,469,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104773/empty,Jati Putih,Lau Garut,7375000
12,470,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104775/empty,Jati Putih II,Lau Garut,7375000
13,471,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104777/empty,Lestari,Lau Garut,8260000
14,472,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104779/empty,Sangap Encari,Tanjung Pamah,9440000
15,473,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104780/empty,Jumpa Rejeki,Tanjung Pamah,10030000
16,474,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104783/empty,Karya Tani,Tanjung Pamah,10325000
17,475,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104785/empty,Setia Tani,Tanjung Pamah,10620000
18,476,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104787/empty,Wanita Arih Ersada,Tanjung Pamah,10030000
19,477,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104789/empty,Tunas Baru,Tanjung Pamah,9440000
20,478,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104791/empty,Ola Kisat,Tanjung Pamah,10030000
21,479,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104793/empty,Mbuah Page,Tanjung Pamah,11800000
22,480,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104795/empty,Persadanta,Tanjung Pamah,12980000
23,481,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104797/empty,Abadi,Tanjung Pamah,12390000
24,482,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104799/empty,Makmur Tani,Bukit Makmur,10030000
25,483,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104801/empty,Ersada,Bukit Makmur,10030000
26,484,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104803/empty,Juma Uruk,Bukit Makmur,9145000
27,485,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104805/empty,Mekar Mulana,Bukit Makmur,9440000
28,486,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104807/empty,Mitra,Bukit Makmur,10030000
29,487,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104809/empty,Ulih Latih,Bukit Makmur,10030000
30,488,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104811/empty,Penampat,Bukit Makmur,9735000
