no,no_bam,situs,poktan,desa
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104754/empty,Rulih Adi Mejingkat I,Lau Garut
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104760/empty,Lagasima II,Lau Garut
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104762/empty,Maju Bersama,Lau Garut
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104766/empty,Simpati,Lau Garut
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104813/empty,Arihta,Bukit Makmur
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104857/empty,Serasi,Bandar Purba
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104913/empty,Bunga Mawar,Kuta Pengkih
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104922/empty,Soala Gogo,Kuta Pengkih
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104936/empty,Kuta Nari,Lau Pakam
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104946/empty,Sada Nioga,Lau Pakam
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104949/empty,Dosniroha,Lau Pakam
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104951/empty,Saroha,Lau Pakam
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104952/empty,Nusantara,Lau Pakam
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104958/empty,Kelengna,Mardingding
131,131/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104971/empty,Tambar Malem B,Mardingding
164,164/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105004/empty,Swakarya,Rimo Bunga
214,214/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105058/empty,Putra Petani,Lau Baleng
217,217/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105061/empty,Kutarih Simalem,Lau Baleng
244,244/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105092/empty,Arih Ersada,Mbal-Mbal Petarum
249,249/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105101/empty,Juma Tulan Gajah,Mbal-Mbal Petarum
250,250/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105102/empty,Gelonggong Simalem I,Mbal-Mbal Petarum
251,251/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105103/empty,Paya Lah-Lah,Mbal-Mbal Petarum
259,259/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105111/empty,Tunas Harapan Tani,Kinangkong
263,263/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105115/empty,Bunga Jadi Buah,Kinangkong
266,266/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105118/empty,Gung Mbelin,Selandi
268,268/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105120/empty,Sabah Perlaba,Selandi
271,271/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105123/empty,Juma Belan,Rimo Kayu
272,272/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105124/empty,Lau Guna,Rimo Kayu
273,273/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105125/empty,Kuta Male,Rimo Kayu
276,276/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/105128/empty,Si Sampat-sampaten,Rimo Kayu
