no,No,situs,poktan,desa,bast
1,279,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104379/empty,Gemah Ripah,Glagahwangi,38055000
2,280,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104380/empty,Bangun Karya,Kapungan,23010000
3,281,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104381/empty,Tunas Karya,Kahuman,33925000
4,282,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104382/empty,Sumber Agung,Ngaran,37170000
5,283,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104383/empty,Ngudi Makmur,Borongan,28025000
6,284,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104384/empty,Bumi Sari,Nganjat,15930000
7,285,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104385/empty,Tani Makmur,Jimus,18880000
8,286,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104386/empty,Margo Rukun,Turus,27730000
9,287,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104387/empty,Marsudi Makmur,Polan,19175000
10,288,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104388/empty,Tani Mulyo,Karanglo,24780000
11,289,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104389/empty,Boga Raharja,Ponggok,13275000
12,290,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104390/empty,Sido Dadi,Wangen,22715000
13,291,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104391/empty,Dadi Maju,Keprabon,19765000
14,292,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104392/empty,Sari Tani,Kranggan,13865000
15,293,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104393/empty,Sari Makmur,Kebonharjo,15340000
16,294,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104394/empty,Sido Makmur,Janti,29205000
17,295,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104395/empty,Sidowayah,Sidowayah,49855000
18,296,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104396/empty,Tani Makmur,Sidoharjo,35990000
19,297,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104397/empty,Marsudi Makmur,Srebegan,29205000
20,298,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104398/empty,Sedyo Rahayu,Pasungan,31270000
21,299,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104399/empty,Tani Mulyo,Kajen,25960000
22,300,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104400/empty,Budidaya,Jambukidul,22420000
23,301,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104401/empty,Tunas Makmur,Kujon,26255000
24,302,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104402/empty,Sri Mulyo,Pokak,28615000
25,303,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104403/empty,Guyub Rukun,Mlese,32450000
26,304,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104404/empty,Agung Makmur,Jombor,17110000
27,305,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104405/empty,Rukun Santosa,Dlimas,13570000
28,306,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104406/empty,Sedyo Budi Utomo,Kurung,25665000
29,307,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104407/empty,Sido Makmur,Cetan,21240000
30,308,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104408/empty,Karya Nyata,Tegalrejo,8850000
31,309,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104409/empty,Gemah Ripah,Ceper,12980000
32,310,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104410/empty,Tani Makmur,Jambukulon,20355000
33,311,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104411/empty,Dadi Makmur,Meger,20355000
34,312,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104412/empty,Tani Mulyo,Klepu,21830000
35,313,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104413/empty,Mardi Makaryo Makmur,Ngawonggo,13570000
36,314,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104414/empty,Adi Karya,Kuncen,23010000
37,315,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104415/empty,Tani Mulyo,Nengahan,1770000
38,316,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104416/empty,Guyub,Nengahan,2065000
39,317,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104418/empty,Karya Makmur,Jambakan,13275000
40,318,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104420/empty,Ngudi Makmur,Jambakan,14750000
41,319,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104421/empty,Mugi Rahayu,Banyuripan,7375000
42,320,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104422/empty,Sumber Makmur,Banyuripan,7375000
43,321,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104423/empty,Sayuk Rukun,Jarum,2360000
44,322,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104424/empty,Abimanyu,Ngerangan,14750000
45,323,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104425/empty,Wisanggeni,Ngerangan,13275000
46,324,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104426/empty,Parikesit,Ngerangan,13275000
47,325,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104427/empty,Rejeki,Krakitan,5900000
48,326,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104432/empty,Berkah Mbaon,Krakitan,5900000
49,327,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104433/empty,Ngudi Makmur,Krakitan,5900000
50,328,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104434/empty,Ngesti Hasil,Beluk,2950000
51,329,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104435/empty,Sido Makmur,Beluk,2950000
52,330,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104436/empty,Sido Rahayu,Tegalrejo,14750000
53,331,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104441/empty,Rimba Makmur,Tawangrejo,5605000
54,332,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104442/empty,Sri Mulyo,Tawangrejo,2950000
55,333,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104443/empty,Sido Asih,Paseban,3540000
56,334,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104444/empty,Pok Eyub,Bogem,5900000
57,335,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104445/empty,Bhakti Makmur,Bogem,2950000
58,336,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104446/empty,Mekarsari,Jotangan,5310000
59,337,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104447/empty,Agrosemi,Jotangan,7375000
60,338,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104449/empty,Sri Margomulyo,Talang,11800000
61,339,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104450/empty,Sido Guyub,Talang,10620000
62,340,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104451/empty,Budi Luhur,Kebon,4425000
63,341,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104452/empty,Ngudi Hasil,Kebon,7670000
64,342,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104453/empty,Sedyo Makmur,Wiro,13275000
65,343,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104454/empty,Sejati Makmur,Krikilan,2065000
66,344,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104455/empty,Lestari Makmur I,Tlobong,7965000
67,345,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104456/empty,Lestari Makmur II,Tlobong,6195000
68,346,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104457/empty,Lestari Makmur III,Tlobong,7670000
69,347,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104458/empty,Tani Mulyo I,Krecek,7670000
70,348,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104459/empty,Tani Mulyo II,Krecek,4425000
71,349,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104460/empty,Tani Mulyo III,Krecek,7375000
72,350,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104461/empty,Sumber Agung I,Dukuh,4130000
73,351,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104462/empty,Sumber Agung II,Dukuh,8555000
74,352,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104463/empty,Sumber Agung III,Dukuh,8260000
75,353,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104464/empty,Krida Tani I,Bowan,9145000
76,354,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104465/empty,Krida Tani II,Bowan,6785000
77,355,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104466/empty,Krida Tani III,Bowan,4130000
78,356,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104467/empty,Tani Mulyo I,Sidomulyo,12095000
79,357,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104469/empty,Tani Mulyo II,Sidomulyo,5900000
80,358,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104471/empty,Tani Mulyo III,Sidomulyo,6490000
81,359,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104473/empty,Usaha Tani I,Banaran,11505000
82,360,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104475/empty,Usaha Tani II,Banaran,7375000
83,361,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104477/empty,Usaha Tani III,Banaran,10325000
84,362,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104480/empty,Usaha Tani IV,Banaran,6785000
85,363,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104482/empty,Sedyo Makmur I,Sabrang,5605000
86,364,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104484/empty,Sedyo Makmur II,Sabrang,7080000
87,365,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104486/empty,Sedyo Makmur I,Mendak,7670000
88,366,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104489/empty,Sedyo Makmur II,Mendak,8260000
89,367,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104491/empty,Sedyo Makmur III,Mendak,4425000
90,368,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104493/empty,Tani Bahagia I,Sribit,8260000
91,369,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104495/empty,Tani Bahagia II,Sribit,6785000
92,370,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104497/empty,Tani Bahagia III,Sribit,7375000
93,371,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104499/empty,Tani Bahagia IV,Sribit,6490000
94,372,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104501/empty,Tani Bahagia V,Sribit,10915000
95,373,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104503/empty,Tani Mulyo I,Karang,5015000
96,374,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104505/empty,Tani Mulyo II,Karang,5310000
97,375,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104507/empty,Tani Mulyo III,Karang,6785000
98,376,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104509/empty,Ngudi Mulyo I,Segaran,8260000
99,377,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104511/empty,Ngudi Mulyo II,Segaran,7375000
100,378,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104513/empty,Ngudi Makmur I,Delanggu,12095000
101,379,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104515/empty,Ngudi Makmur II,Delanggu,7375000
102,380,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104517/empty,Tani Makmur I,Kepanjen,4130000
103,381,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104519/empty,Tani Makmur II,Kepanjen,5605000
104,382,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104521/empty,Tani Makmur III,Kepanjen,6490000
105,383,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104523/empty,Ngudi Makmur I,Butuhan,5900000
106,384,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104525/empty,Ngudi Makmur II,Butuhan,7080000
107,385,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104527/empty,Tani Makmur I,Jetis,6785000
108,386,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104530/empty,Tani Makmur II,Jetis,7670000
109,387,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104532/empty,Tani Makmur III,Jetis,6195000
110,388,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104534/empty,Margo Mulyo I,Gatak,6195000
111,389,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104537/empty,Margo Mulyo II,Gatak,6490000
112,390,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104539/empty,Margo Mulyo III,Gatak,6195000
