no,no_bam,situs,poktan,desa,bast
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104468/empty,Rukun Santoso,Babadan,11800000
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104470/empty,Tunggalsari,Bareng,8850000
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104472/empty,Rukun Makmur Jaya,Cekok,13275000
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104474/empty,Sri Makmur,Gupolo,7080000
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104476/empty,Ngudi Berkah Lestari,Japan,9440000
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104478/empty,Sandang Pangan,Kadipaten,11800000
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104479/empty,Kerto Raharjo,Kertosari,8850000
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104481/empty,Lembah Makmur,Lembah,8260000
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104483/empty,Rukun Sejahtera Abadi,Ngunut,9440000
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104485/empty,Margo Makmur,Patihan Wetan,8850000
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104488/empty,Rukun Makmur,Polorejo,9440000
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104490/empty,Tani Lancar,Pondok,9440000
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104492/empty,Rukun Makmur,Purwosari,11800000
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104494/empty,Rukun Makmur,Sukosari,14160000
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104496/empty,Sumber,Trisono,21240000
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104498/empty,Sumber Agung,Badegan,17700000
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104500/empty,Bandar Tani,Bandaralim,29500000
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104502/empty,Tri Manunggal,Biting,19175000
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104504/empty,Subur,Dayakan,17700000
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104506/empty,Margo Mulyo,Kapuran,32450000
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104508/empty,Tani Manunggal,Karangan,29500000
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104510/empty,Rukun Makmur,Karangjoho,20650000
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104512/empty,Tanjung Tani,Tanjunggunung,23600000
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104514/empty,Maju Mapan,Tanjungrejo,33040000
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104516/empty,Rukun Makmur,Watubonang,9145000
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104518/empty,Margo Tani Utomo,Bajang,14455000
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104520/empty,Daya Tani,Balong,10325000
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104522/empty,Jaya Makmur,Bulak,8260000
