no,situs,poktan,desa
268,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88892/edit_distribusi?delegasiid=2481,Kwt Sahabat,Panabari Hutatonga
269,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88895/edit_distribusi?delegasiid=2481,Setia Jaya,Panabari Hutatonga
270,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88896/edit_distribusi?delegasiid=2481,Raprim,Panabari Hutatonga
271,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88897/edit_distribusi?delegasiid=2481,Letare,Panabari Hutatonga
272,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88899/edit_distribusi?delegasiid=2481,Harapan,Panabari Hutatonga
273,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88900/edit_distribusi?delegasiid=2481,Sygenta,Panabari Hutatonga
274,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88902/edit_distribusi?delegasiid=2481,Rapra,Panabari Hutatonga
275,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88904/edit_distribusi?delegasiid=2481,Marsiurupan,Panabari Hutatonga
276,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88905/edit_distribusi?delegasiid=2481,Sehati,Panabari Hutatonga
277,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88907/edit_distribusi?delegasiid=2481,Kwt Kasih Ibu,Huta Raja
278,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88909/edit_distribusi?delegasiid=2481,Anugrah,Huta Raja
279,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88911/edit_distribusi?delegasiid=2481,Anggian Maduma,Huta Raja
280,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88913/edit_distribusi?delegasiid=2481,Diori Marsada,Lumban Jabi-jabi
281,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88915/edit_distribusi?delegasiid=2481,Kwt Bina Karya,Lumban Jabi-jabi
282,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88917/edit_distribusi?delegasiid=2481,Saihot,Lumban Jabi-jabi
283,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88919/edit_distribusi?delegasiid=2481,Ibu Anggrek Biru,Lumban Jabi-jabi
284,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88920/edit_distribusi?delegasiid=2481,Partahian Nauli,Lumban Ratus
285,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88922/edit_distribusi?delegasiid=2481,Sinar Tani,Lumban Ratus
286,https://mpo.psp.pertanian.go.id/v.5/pelaporan/88924/edit_distribusi?delegasiid=2481,Dos Ni Roha,Lumban Ratus
