no,situs,poktan,desa
250,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76894/edit_distribusi?delegasiid=2486,Baddo Kambara,Towata
251,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76900/edit_distribusi?delegasiid=2486,Bayang Lompo,Towata
252,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76908/edit_distribusi?delegasiid=2486,Julukanaya,Manongkoki
253,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76915/edit_distribusi?delegasiid=2486,Mawar Pannaraka,Palleko
254,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76916/edit_distribusi?delegasiid=2486,Sikamasseang,Mattompodale
255,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76924/edit_distribusi?delegasiid=2486,Sipakatau,Barugaya
256,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76926/edit_distribusi?delegasiid=2486,Berupopoloe,Barangmamase
257,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76928/edit_distribusi?delegasiid=2486,Boddonga,Barangmamase
258,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76929/edit_distribusi?delegasiid=2486,Bontosunggu,Bentang
259,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76930/edit_distribusi?delegasiid=2486,Papparappakanta,Bentang
260,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76931/edit_distribusi?delegasiid=2486,Passaribattanganta,Bentang
261,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76932/edit_distribusi?delegasiid=2486,Tubarua,Bentang
262,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76933/edit_distribusi?delegasiid=2486,Cambaya,Bontokassi
263,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76934/edit_distribusi?delegasiid=2486,Balang,Bontomarannu
264,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76935/edit_distribusi?delegasiid=2486,Kayu Jawaya,Bontomarannu
265,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76936/edit_distribusi?delegasiid=2486,Panrannuangku,Kadatong
266,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76937/edit_distribusi?delegasiid=2486,Harapan Jaya,Kale Bentang
267,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76938/edit_distribusi?delegasiid=2486,Maminasata,Kale Bentang
268,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76939/edit_distribusi?delegasiid=2486,Jaya Abadi,Kalukubodo
269,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76940/edit_distribusi?delegasiid=2486,Kalukubodo,Kalukubodo
270,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76941/edit_distribusi?delegasiid=2486,Sikarannuang,Kalukubodo
271,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76942/edit_distribusi?delegasiid=2486,Bontoa Permai,Mangindara
272,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76943/edit_distribusi?delegasiid=2486,Maminasata  II,Mangindara
273,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76944/edit_distribusi?delegasiid=2486,Dengilau,Sawakong
274,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76945/edit_distribusi?delegasiid=2486,Minasanta,Sawakong
275,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76946/edit_distribusi?delegasiid=2486,Sawakong Toa,Sawakong
276,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76947/edit_distribusi?delegasiid=2486,Bina Tani,Tarowang
277,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76948/edit_distribusi?delegasiid=2486,Pattarowanta II,Tarowang
278,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76949/edit_distribusi?delegasiid=2486,Sinar Kunjungmange,Popo
279,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76950/edit_distribusi?delegasiid=2486,Salamaka,Boddia
280,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76951/edit_distribusi?delegasiid=2486,Damai,Bontoloe
281,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76952/edit_distribusi?delegasiid=2486,Kanatojengku,Bontoloe
282,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76953/edit_distribusi?delegasiid=2486,Sipakainga,Bontoloe
283,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76954/edit_distribusi?delegasiid=2486,Nirannuang,Kalenna Bontongape
284,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76955/edit_distribusi?delegasiid=2486,Sejahtera,Kalenna Bontongape
285,https://mpo.psp.pertanian.go.id/v.5/pelaporan/76956/edit_distribusi?delegasiid=2486,Timbuseng,Kalenna Bontongape
