no,nomor,situs,poktan,data_kolom_tiga
1,1/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50743/empty,Karya Bakti,Kejawan
2,2/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50744/empty,Pakisan Jaya,Pakisan
3,3/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50745/empty,Assubur,Brambang Darussalam
4,4/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50746/empty,Makmur Tani,Gunosari
5,5/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50747/empty,Tlogomas,Tlogosari
6,6/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50748/empty,Al-Barokah,Jebung Lor
7,7/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50749/empty,Al Hikmah,Lombok Wetan
8,8/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50750/empty,Setia Kawan,Tumpeng
9,9/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50751/empty,Tani Makmur,Bendoarum
10,10/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50752/empty,Mitra Kita,Pelalangan
11,11/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50753/empty,Kelapa Gading,Pasarejo
12,12/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50754/empty,Sumber Jaya,Sumberkalong
13,13/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50755/empty,Sinar Abadi,Jumpong
14,14/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50756/empty,Al Barokah,Lombok Kulon
15,15/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50757/empty,Sejahtera,Kapuran
16,16/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50758/empty,Sumber Urip,Wonosari
17,17/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50759/empty,Suka Maju,Tangsil Wetan
18,18/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50760/empty,Sawunggaling,Wonokusumo
19,19/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50761/empty,Tani Jaya,Jurang Sapi
20,20/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50762/empty,Tali Asih,Taal
21,21/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50763/empty,Banjir Mas,Tapen
22,22/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50764/empty,Kerang Makmur,Kerang
23,23/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50765/empty,Subur Makmur,Pecalongan
24,24/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50766/empty,Tani Subur,Nogosari
25,25/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50767/empty,Tunas Harapan,Sumber Gading
26,26/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50768/empty,Rejo Mulyo,Rejo Agung
27,27/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50769/empty,Al Barokah,Sukosari Kidul
28,28/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50770/empty,Tani Sejahtera,Tegaljati
29,29/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50771/empty,Sukorejo Urip,Sukorejo
