2023-08-07 05:39:23,100 [WARNING] Error getting version of chromedriver 115. Retrying with chromedriver 114 (attempt 1/5)
2023-08-07 05:40:18,571 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50697/spasial/create, nomor: 312/bam/poligon
2023-08-07 05:40:18,929 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50698/spasial/create, nomor: 313/bam/poligon
2023-08-07 05:40:19,293 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50699/spasial/create, nomor: 314/bam/poligon
2023-08-07 05:40:19,672 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50700/spasial/create, nomor: 315/bam/poligon
2023-08-07 05:41:08,862 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50701/spasial/create, nomor: 316/bam/poligon
2023-08-07 05:41:09,249 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50702/spasial/create, nomor: 317/bam/poligon
2023-08-07 05:41:09,604 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50703/spasial/create, nomor: 318/bam/poligon
2023-08-07 05:41:09,981 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50704/spasial/create, nomor: 319/bam/poligon
2023-08-07 05:41:59,526 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50705/spasial/create, nomor: 320/bam/poligon
2023-08-07 05:41:59,934 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50706/spasial/create, nomor: 321/bam/poligon
2023-08-07 05:42:00,305 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50707/spasial/create, nomor: 322/bam/poligon
2023-08-07 05:42:00,682 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50708/spasial/create, nomor: 323/bam/poligon
2023-08-07 05:42:50,029 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50709/spasial/create, nomor: 324/bam/poligon
2023-08-07 05:42:50,465 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50710/spasial/create, nomor: 325/bam/poligon
2023-08-07 05:42:50,828 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50711/spasial/create, nomor: 326/bam/poligon
2023-08-07 05:42:51,215 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50712/spasial/create, nomor: 327/bam/poligon
2023-08-07 05:43:40,950 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50713/spasial/create, nomor: 328/bam/poligon
2023-08-07 05:43:41,394 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50714/spasial/create, nomor: 329/bam/poligon
2023-08-07 05:43:41,750 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50715/spasial/create, nomor: 330/bam/poligon
2023-08-07 05:43:42,112 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50716/spasial/create, nomor: 331/bam/poligon
2023-08-07 05:44:31,664 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50717/spasial/create, nomor: 332/bam/poligon
2023-08-07 05:44:32,136 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50718/spasial/create, nomor: 333/bam/poligon
2023-08-07 05:44:32,587 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50719/spasial/create, nomor: 334/bam/poligon
2023-08-07 05:44:33,163 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50720/spasial/create, nomor: 335/bam/poligon
2023-08-07 05:45:22,765 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50721/spasial/create, nomor: 336/bam/poligon
2023-08-07 05:45:23,396 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50722/spasial/create, nomor: 337/bam/poligon
2023-08-07 05:45:23,982 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50723/spasial/create, nomor: 338/bam/poligon
2023-08-07 05:45:24,564 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50725/spasial/create, nomor: 339/bam/poligon
2023-08-07 05:46:14,375 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50726/spasial/create, nomor: 340/bam/poligon
2023-08-07 05:46:14,952 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50731/spasial/create, nomor: 341/bam/poligon
2023-08-07 05:46:15,514 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50732/spasial/create, nomor: 342/bam/poligon
2023-08-07 05:46:16,076 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50733/spasial/create, nomor: 343/bam/poligon
2023-08-07 05:47:05,890 [INFO] Filled form for situs: https://mpo.psp.pertanian.go.id/v.5/pelaporan/50734/spasial/create, nomor: 344/bam/poligon
