2023-11-04 19:35:33,220 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Nangbelawan, kelompok: Juma Lepar I
2023-11-04 19:35:39,720 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Nangbelawan, kelompok: Sementara
2023-11-04 19:35:46,061 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Nangbelawan, kelompok: Juma Lepar
2023-11-04 19:35:51,991 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Nangbelawan, kelompok: Juma Kesumpat
2023-11-04 19:35:58,157 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Sirumbia, kelompok: Arih Ersada
2023-11-04 19:36:04,301 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Sirumbia, kelompok: Juma Tampe
2023-11-04 19:36:10,385 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Sirumbia, kelompok: Simulih Karaben
2023-11-04 19:36:16,740 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Sirumbia, kelompok: Juma Kenjulu I
2023-11-04 19:36:22,925 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Sirumbia, kelompok: Juma Kenjulu II
2023-11-04 19:36:29,130 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Sirumbia, kelompok: Juma Lau Gerat
2023-11-04 19:36:35,143 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Sirumbia, kelompok: Juma Serasi
2023-11-04 19:36:41,365 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Sirumbia, kelompok: Juma Sekula
2023-11-04 19:36:47,364 [INFO] Trying write new report for kab: Karo, kec: Simpang Empat, desa: Sirumbia, kelompok: Juma Lau Bengkuang
2023-11-04 19:36:53,456 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Lau Simomo, kelompok: Juma Berneh
2023-11-04 19:36:59,410 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Lau Simomo, kelompok: Juma Kenjahe
2023-11-04 19:37:05,927 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Lau Simomo, kelompok: Juma Kampung Baru
2023-11-04 19:37:12,594 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Lau Simomo, kelompok: Juma Uruk
2023-11-04 19:37:19,359 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Lau Simomo, kelompok: Juma Sosial
2023-11-04 19:37:25,608 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Lau Simomo, kelompok: Juma Kesain Mbelang
2023-11-04 19:37:31,754 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Sangap Encari
2023-11-04 19:37:37,784 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Juma Tengah
2023-11-04 19:37:44,040 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Juma Saringgetep
2023-11-04 19:37:50,382 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Juma Binara
2023-11-04 19:37:56,531 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Juma Begayo
2023-11-04 19:38:02,882 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Juma Tambak
2023-11-04 19:38:09,079 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Juma Tungkup
2023-11-04 19:38:15,595 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Juma Tenembuk
2023-11-04 19:38:21,683 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Juma Eluk
2023-11-04 19:38:27,947 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Rumah Selat
2023-11-04 19:38:34,119 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Pola Munte
2023-11-04 19:38:40,562 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Sada Nioga
2023-11-04 19:38:46,702 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Lau Sianak
2023-11-04 19:38:53,053 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Rudang Tani
2023-11-04 19:38:59,304 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Buluh Duri
2023-11-04 19:39:05,549 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Kerangen Kutajulu
2023-11-04 19:39:11,700 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Kandibata, kelompok: Rembang Tengah
2023-11-04 19:39:18,097 [INFO] Trying write new report for kab: Karo, kec: Kabanjahe, desa: Samura, kelompok: Tangan baju
2023-11-04 19:39:24,333 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Kem Kem, kelompok: Juma Deleng
2023-11-04 19:39:30,498 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Kem Kem, kelompok: Juma Kendit
2023-11-04 19:39:36,886 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Kem Kem, kelompok: Kerangen Telu-telu
2023-11-04 19:39:43,025 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Kem Kem, kelompok: Kemiri
2023-11-04 19:39:49,782 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Kem Kem, kelompok: Tongkoh
2023-11-04 19:39:55,975 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Buah Leweh
2023-11-04 19:40:02,286 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Dalan Kuda
2023-11-04 19:40:08,626 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Uruk Kenas
2023-11-04 19:40:15,199 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Uruk Jawi
2023-11-04 19:40:21,536 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Kuta Jahe
2023-11-04 19:40:27,934 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Tangger
2023-11-04 19:40:34,104 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Napa
2023-11-04 19:40:40,159 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Buloh Duri
2023-11-04 19:40:46,237 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Paya Sulangat
2023-11-04 19:40:52,448 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Perbesi, kelompok: Mondul
2023-11-04 19:40:58,664 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Kuta Bangun, kelompok: Mbuah Page
2023-11-04 19:41:06,187 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Simolap, kelompok: Pancur Timah
2023-11-04 19:41:13,143 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Kuta Buara, kelompok: Paya Mbelang
2023-11-04 19:41:19,284 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Suka Julu, kelompok: Paya Tereb
2023-11-04 19:41:25,640 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Kutambaru Punti, kelompok: Kuta Mbaru Punti I
2023-11-04 19:41:31,848 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Batumamak, kelompok: Lau Tambak
2023-11-04 19:41:38,230 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Limang, kelompok: Lau Kami
2023-11-04 19:41:44,576 [INFO] Trying write new report for kab: Karo, kec: Tigabinanga, desa: Limang, kelompok: Kerenda
